etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Etelä-Karjala;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);130;-66;-33,7;+13;+11,1
Työttömyysturva;Etelä-Karjala;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);5607;+308;+5,8;+6;+0,1
Työttömyysturva;Etelä-Karjala;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);4981;-122;-2,4;-8;-0,2
Työttömyysturva;Etelä-Pohjanmaa;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);200;-30;-13;+62;+44,9
Työttömyysturva;Etelä-Pohjanmaa;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);5896;+936;+18,9;+55;+0,9
Työttömyysturva;Etelä-Pohjanmaa;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);4971;+241;+5,1;-22;-0,4
Työttömyysturva;Etelä-Savo;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);142;-67;-32,1;+21;+17,4
Työttömyysturva;Etelä-Savo;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);5348;+79;+1,5;+10;+0,2
Työttömyysturva;Etelä-Savo;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);4758;-302;-6;-23;-0,5
Työttömyysturva;Kainuu;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);91;-35;-27,8;+36;+65,5
Työttömyysturva;Kainuu;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);2542;+9;+0,4;+42;+1,7
Työttömyysturva;Kainuu;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);2242;-165;-6,9;-6;-0,3
Työttömyysturva;Kanta-Häme;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);179;-42;-19;+67;+59,8
Työttömyysturva;Kanta-Häme;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);6721;+520;+8,4;+30;+0,4
Työttömyysturva;Kanta-Häme;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);5921;-59;-1;-34;-0,6
Työttömyysturva;Keski-Pohjanmaa;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);75;-18;-19,4;+22;+41,5
Työttömyysturva;Keski-Pohjanmaa;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);2267;+255;+12,7;+32;+1,4
Työttömyysturva;Keski-Pohjanmaa;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);1973;+54;+2,8;+9;+0,5
Työttömyysturva;Keski-Suomi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);349;-166;-32,2;+99;+39,6
Työttömyysturva;Keski-Suomi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);13072;+1052;+8,8;-51;-0,4
Työttömyysturva;Keski-Suomi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);11666;+161;+1,4;-150;-1,3
Työttömyysturva;Kymenlaakso;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);159;-67;-29,6;+9;+6
Työttömyysturva;Kymenlaakso;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);7835;+89;+1,1;-46;-0,6
Työttömyysturva;Kymenlaakso;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);7095;-425;-5,7;-55;-0,8
Työttömyysturva;Lappi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);222;-36;-14;+58;+35,4
Työttömyysturva;Lappi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);6455;+1050;+19,4;+17;+0,3
Työttömyysturva;Lappi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);5407;+260;+5,1;-59;-1,1
Työttömyysturva;Pirkanmaa;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);611;-136;-18,2;+106;+21
Työttömyysturva;Pirkanmaa;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);24056;+2627;+12,3;-10;0
Työttömyysturva;Pirkanmaa;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);21441;+759;+3,7;-214;-1
Työttömyysturva;Pohjanmaa;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);196;+3;+1,6;+58;+42
Työttömyysturva;Pohjanmaa;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);5663;+622;+12,3;+32;+0,6
Työttömyysturva;Pohjanmaa;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);4974;+126;+2,6;-18;-0,4
Työttömyysturva;Pohjois-Karjala;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);207;-131;-38,8;+62;+42,8
