etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Koko Suomi;alle 25;kaikki;uudet saajat;Työttömyysturva (uudet saajat);2729;+155;+6;+790;+40,7
Työttömyysturva;Koko Suomi;alle 25;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);29970;+3568;+13,5;+1124;+3,9
Työttömyysturva;Koko Suomi;alle 25;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);26681;+2853;+12;+311;+1,2
Työttömyysturva;Koko Suomi;25-34;kaikki;uudet saajat;Työttömyysturva (uudet saajat);2092;-473;-18,4;+268;+14,7
Työttömyysturva;Koko Suomi;25-34;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);66257;+9990;+17,8;-368;-0,6
Työttömyysturva;Koko Suomi;25-34;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);60968;+7266;+13,5;-660;-1,1
Työttömyysturva;Koko Suomi;35-44;kaikki;uudet saajat;Työttömyysturva (uudet saajat);910;-446;-32,9;+42;+4,8
Työttömyysturva;Koko Suomi;35-44;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);61194;+12860;+26,6;-297;-0,5
Työttömyysturva;Koko Suomi;35-44;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);54790;+7812;+16,6;-447;-0,8
Työttömyysturva;Koko Suomi;45-54;kaikki;uudet saajat;Työttömyysturva (uudet saajat);492;-455;-48;-33;-6,3
Työttömyysturva;Koko Suomi;45-54;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);55543;+11979;+27,5;-532;-0,9
Työttömyysturva;Koko Suomi;45-54;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);48669;+6052;+14,2;-536;-1,1
Työttömyysturva;Koko Suomi;yli 54;kaikki;uudet saajat;Työttömyysturva (uudet saajat);322;-350;-52,1;+30;+10,3
Työttömyysturva;Koko Suomi;yli 54;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);50321;+15708;+45,4;+32;+0,1
Työttömyysturva;Koko Suomi;yli 54;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);43257;+9316;+27,4;-159;-0,4
Yrittäjien työmarkkinatuki;Koko Suomi;alle 25;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;560;NA;NA;+23;+4,3
Yrittäjien työmarkkinatuki;Koko Suomi;25-34;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;3197;NA;NA;+24;+0,8
Yrittäjien työmarkkinatuki;Koko Suomi;35-44;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;5494;NA;NA;+108;+2
Yrittäjien työmarkkinatuki;Koko Suomi;45-54;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;6382;NA;NA;+37;+0,6
Yrittäjien työmarkkinatuki;Koko Suomi;yli 54;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;6742;NA;NA;+161;+2,4
