etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Koko Suomi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);6545;-1569;-19,3;+1097;+20,1
Työttömyysturva;Koko Suomi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);240910;+31730;+15,2;-394;-0,2
Työttömyysturva;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);211990;+10924;+5,4;-1844;-0,9
Yrittäjien työmarkkinatuki;Koko Suomi;kaikki;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;22375;+22375;NA;+353;+1,6
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;kaikki saajaruokakunnat;Yleinen asumistuki (kaikki saajaruokakunnat);402280;+27861;+7,4;-279;-0,1
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;uudet saajaruokakunnat;Yleinen asumistuki (uudet saajaruokakunnat);7426;+986;+15,3;-203;-2,7
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet ruokakunnat;Yleinen asumistuki (aiemmin tukea saaneet ruokakunnat);394854;+26875;+7,3;-76;0
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);7982;-3777;-32,1;-1201;-13,1
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);210468;-895;-0,4;-4721;-2,2
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);6424;-1755;-21,5;-743;-10,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);140444;+2887;+2,1;-3461;-2,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);202486;+2882;+1,4;-3520;-1,7
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);134020;+4642;+3,6;-2718;-2
Sairauspäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);51747;-6323;-10,9;-4813;-8,5
Tartuntatautipäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);9574;+9562;+79683,3;+1170;+13,9
