etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Perustoimeentulotuki;Koko Suomi;kaikki;miehet;uudet saajat;Perustoimeentulotuki (uudet saajat);4205;-2024;-32,5;-573;-12
Perustoimeentulotuki;Koko Suomi;kaikki;miehet;kaikki saajat;Perustoimeentulotuki (kaikki saajat);113493;+216;+0,2;-2449;-2,1
Perustoimeentulotuki;Koko Suomi;kaikki;miehet;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);109288;+2240;+2,1;-1876;-1,7
Perustoimeentulotuki;Koko Suomi;kaikki;naiset;uudet saajat;Perustoimeentulotuki (uudet saajat);3777;-1753;-31,7;-628;-14,3
Perustoimeentulotuki;Koko Suomi;kaikki;naiset;kaikki saajat;Perustoimeentulotuki (kaikki saajat);96975;-1111;-1,1;-2272;-2,3
Perustoimeentulotuki;Koko Suomi;kaikki;naiset;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);93198;+642;+0,7;-1644;-1,7
Sairauspäiväraha;Koko Suomi;kaikki;miehet;kaikki saajat;Sairauspäiväraha (kaikki saajat);20953;-3373;-13,9;-2156;-9,3
Sairauspäiväraha;Koko Suomi;kaikki;naiset;kaikki saajat;Sairauspäiväraha (kaikki saajat);30794;-2950;-8,7;-2657;-7,9
Tartuntatautipäiväraha;Koko Suomi;kaikki;miehet;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);4450;+4443;+63471,4;+524;+13,3
Tartuntatautipäiväraha;Koko Suomi;kaikki;naiset;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);5124;+5119;+102380;+646;+14,4
