etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Koko Suomi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);6155;-20220;-76,7;+606;+10,9
Työttömyysturva;Koko Suomi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);240731;-34279;-12,5;-4234;-1,7
Työttömyysturva;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);211220;-5898;-2,7;-3923;-1,8
Yrittäjien työmarkkinatuki;Koko Suomi;kaikki;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;23356;-8161;-25,9;-917;-3,8
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;kaikki saajaruokakunnat;Yleinen asumistuki (kaikki saajaruokakunnat);400536;+14331;+3,7;-2953;-0,7
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;uudet saajaruokakunnat;Yleinen asumistuki (uudet saajaruokakunnat);6485;-5217;-44,6;-1177;-15,4
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet ruokakunnat;Yleinen asumistuki (aiemmin tukea saaneet ruokakunnat);394051;+19548;+5,2;-1776;-0,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);7710;-7359;-48,8;-867;-10,1
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);213729;-23932;-10,1;-4761;-2,2
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);6262;-4591;-42,3;-490;-7,3
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);144361;-10679;-6,9;-2479;-1,7
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);206019;-16573;-7,4;-3894;-1,9
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);138099;-6088;-4,2;-1989;-1,4
Sairauspäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);55375;-2167;-3,8;+5813;+11,7
Tartuntatautipäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);15761;+13797;+702,5;+1667;+11,8
