viikko;vuosi;puhelinpalvelun_jonotusajan_keskiarvo_min
1;2019;6,4
2;2019;7,7
3;2019;6,9
4;2019;7,1
5;2019;7,9
6;2019;8,2
7;2019;10,4
8;2019;9,0
9;2019;11,2
10;2019;10,6
11;2019;8,2
12;2019;6,6
13;2019;7,2
14;2019;6,7
15;2019;5,5
16;2019;7,5
17;2019;8,3
18;2019;8,9
19;2019;7,5
20;2019;5,4
21;2019;3,8
22;2019;7,5
23;2019;7,8
24;2019;8,2
25;2019;8,2
26;2019;11,7
27;2019;9,6
28;2019;10,2
29;2019;8,6
30;2019;6,3
31;2019;9,8
32;2019;12,2
33;2019;10,7
34;2019;8,1
35;2019;8,0
36;2019;8,0
37;2019;6,0
38;2019;5,1
39;2019;8,6
40;2019;9,1
41;2019;8,4
42;2019;9,4
43;2019;7,5
44;2019;9,1
45;2019;9,5
46;2019;9,7
47;2019;6,9
48;2019;7,4
49;2019;11,4
50;2019;11,2
51;2019;11,4
52;2019;7,8
1;2020;11,1
2;2020;11,9
3;2020;11,0
4;2020;10,4
5;2020;10,8
6;2020;12,1
7;2020;10,6
8;2020;11,5
9;2020;13,2
10;2020;14,3
11;2020;11,4
12;2020;9,3
13;2020;5,5
14;2020;2,7
15;2020;1,1
16;2020;5,2
17;2020;1,4
18;2020;3,4
19;2020;3,6
20;2020;1,9
21;2020;3,3
22;2020;2,0
23;2020;1,5
24;2020;0,8
25;2020;1,0
26;2020;1,5
27;2020;1,7
28;2020;2,0
29;2020;1,4
30;2020;1,1
31;2020;1,4
32;2020;2,1
33;2020;1,9
34;2020;1,8
35;2020;1,6
36;2020;2,5
37;2020;0,7
38;2020;0,7
39;2020;0,8
40;2020;4,2
41;2020;3,8
42;2020;6,0
43;2020;3,1
44;2020;4,1
45;2020;4,1
46;2020;2,8
47;2020;4,5
48;2020;5,2
49;2020;6,2
50;2020;5,7
51;2020;7,1
52;2020;2,9
53;2020;3,3
1;2021;5,3
2;2021;3,2
3;2021;7,1
4;2021;9,5
5;2021;10,2
6;2021;9,3
7;2021;10,4
8;2021;8,9
9;2021;11,5
10;2021;10,1
