alue;viikko;saatavuusaika_ka;vuosi;palvelukanava
Eteläinen asiakaspalveluyksikkö;2;5,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;2;6,8;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;2;3,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;2;3,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;2;6,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;2;7,0;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;2;5,3;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;2;5,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;2;5,2;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;2;7,4;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;2;4,4;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;2;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;3;4,6;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;3;6,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;3;3,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;3;3,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;3;6,6;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;3;7,9;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;3;6,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;3;6,0;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;3;4,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;3;8,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;3;5,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;3;7,7;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;4;4,3;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;4;6,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;4;3,2;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;4;2,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;4;6,1;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;4;7,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;4;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;4;5,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;4;4,4;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;4;8,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;4;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;4;8,1;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;5;4,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;5;5,3;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;5;2,7;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;5;2,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;5;5,9;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;5;6,4;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;5;4,6;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;5;5,0;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;5;3,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;5;9,1;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;5;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;5;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;6;4,6;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;6;4,8;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;6;3,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;6;3,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;6;5,6;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;6;5,9;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;6;3,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;6;5,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;6;4,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;6;8,5;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;6;5,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;6;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;7;5,4;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;7;4,5;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;7;3,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;7;4,0;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;7;5,7;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;7;6,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;7;4,6;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;7;5,4;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;7;4,2;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;7;8,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;7;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;7;7,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;8;6,1;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;8;5,3;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;8;4,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;8;5,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;8;6,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;8;5,9;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;8;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;8;4,1;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;8;4,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;8;9,4;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;8;4,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;8;7,1;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;9;5,5;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;9;5,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;9;6,0;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;9;5,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;9;6,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;9;6,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;9;4,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;9;4,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;9;3,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;9;8,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;9;4,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;9;7,4;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;10;8,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;10;5,6;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;10;5,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;10;6,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;10;7,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;10;7,4;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;10;5,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;10;5,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;10;3,5;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;10;8,0;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;10;5,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;10;8,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;11;7,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;11;5,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;11;4,6;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;11;5,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;11;7,3;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;11;7,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;11;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;11;4,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;11;3,8;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;11;7,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;11;4,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;11;9,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;12;5,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;12;4,8;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;12;4,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;12;3,6;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;12;6,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;12;6,7;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;12;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;12;5,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;12;3,4;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;12;7,5;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;12;4,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;12;8,8;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;13;4,6;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;13;4,1;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;13;3,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;13;3,6;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;13;5,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;13;6,0;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;13;4,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;13;4,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;13;3,5;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;13;6,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;13;4,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;13;8,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;14;4,3;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;14;3,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;14;3,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;14;2,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;14;4,4;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;14;6,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;14;4,9;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;14;4,5;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;14;3,6;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;14;7,4;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;14;4,1;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;14;9,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;15;5,1;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;15;3,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;15;4,0;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;15;3,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;15;4,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;15;7,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;15;5,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;15;4,8;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;15;4,1;2019;palvelupiste
