vuosi,viikko,matkojen_maara,matkojen_maara_kertyma,alue,aikatyyppi,pituus_keskiarvo,pituus_viikkosumma,pituus_viikkosumma_kertyma,asiakkaiden_maara,mk_valinen_osuus,paiva,updated
2019,52,33282,3811529,Koko Suomi,viikko,34.49488071630311,1148058.62,137436783.3,13793,5,2019-12-30,2023-10-30T08:13:05Z
2019,52,1259,118379,Etelä-Karjala,viikko,30.697092930897536,38647.64,3876723.3,516,3.3,2019-12-30,2023-10-30T08:13:05Z
2019,52,1747,188907,Etelä-Pohjanmaa,viikko,42.75472238122496,74692.5,9329468.65,683,5,2019-12-30,2023-10-30T08:13:05Z
2019,52,1450,156432,Etelä-Savo,viikko,42.19388965517241,61181.14,7269768.78,618,16.1,2019-12-30,2023-10-30T08:13:05Z
2019,52,807,90877,Kainuu,viikko,51.89194547707559,41876.8,5468919.95,368,8.4,2019-12-30,2023-10-30T08:13:05Z
2019,52,1162,133209,Kanta-Häme,viikko,27.480740103270225,31932.62,4294236.8,465,13.4,2019-12-30,2023-10-30T08:13:05Z
2019,52,373,43535,Keski-Pohjanmaa,viikko,53.108310991957104,19809.4,2244242.63,156,12.1,2019-12-30,2023-10-30T08:13:05Z
2019,52,2181,217160,Keski-Suomi,viikko,36.024970197157266,78570.46,8526859.9,878,5.3,2019-12-30,2023-10-30T08:13:05Z
2019,52,1474,145164,Kymenlaakso,viikko,30.750257801899593,45325.88,4726152.62,625,8,2019-12-30,2023-10-30T08:13:05Z
2019,52,1475,164033,Lappi,viikko,68.78673220338983,101460.43,11399933.72,605,10.3,2019-12-30,2023-10-30T08:13:05Z
2019,52,2954,395248,Pirkanmaa,viikko,26.098696682464453,77095.55,10742808.45,1231,2,2019-12-30,2023-10-30T08:13:05Z
2019,52,800,91421,Pohjanmaa,viikko,38.31815,30654.52,4475221.53,333,14.3,2019-12-30,2023-10-30T08:13:05Z
2019,52,1221,127548,Pohjois-Karjala,viikko,45.80126945126945,55923.35,6313576.38,573,2,2019-12-30,2023-10-30T08:13:05Z
2019,52,2696,339694,Pohjois-Pohjanmaa,viikko,49.463286350148365,133353.02,16164147.13,1106,4.3,2019-12-30,2023-10-30T08:13:05Z
2019,52,2273,217803,Pohjois-Savo,viikko,34.62440827100748,78701.28,8717967.19,952,0.8,2019-12-30,2023-10-30T08:13:05Z
2019,52,1061,111674,Päijät-Häme,viikko,27.976682375117814,29683.26,3179384.82,465,3.9,2019-12-30,2023-10-30T08:13:05Z
2019,52,1443,183379,Satakunta,viikko,33.74202356202356,48689.74,6157605.81,616,8.3,2019-12-30,2023-10-30T08:13:05Z
2019,52,5744,697690,Uusimaa,viikko,22.932305013927575,131723.16,15702816.47,2317,1.8,2019-12-30,2023-10-30T08:13:05Z
2019,52,3124,383128,Varsinais-Suomi,viikko,21.29531690140845,66526.57,8679045.17,1274,1,2019-12-30,2023-10-30T08:13:05Z
2019,51,79277,3778247,Koko Suomi,viikko,37.19508482914338,2948714.74,136288724.68,30198,6.1,2019-12-23,2023-10-30T08:13:05Z
2019,51,2461,117120,Etelä-Karjala,viikko,33.48903697683868,82416.52,3838075.66,954,5.2,2019-12-23,2023-10-30T08:13:05Z
2019,51,3868,187160,Etelä-Pohjanmaa,viikko,49.00571613236815,189554.11000000002,9254776.15,1450,7.3,2019-12-23,2023-10-30T08:13:05Z
2019,51,3456,154982,Etelä-Savo,viikko,45.60207465277778,157600.77,7208587.64,1312,18.2,2019-12-23,2023-10-30T08:13:05Z
2019,51,1853,90070,Kainuu,viikko,65.78171613599568,121893.52,5427043.15,718,14.4,2019-12-23,2023-10-30T08:13:05Z
2019,51,2624,132047,Kanta-Häme,viikko,32.25900914634146,84647.64,4262304.18,982,22.8,2019-12-23,2023-10-30T08:13:05Z
2019,51,922,43162,Keski-Pohjanmaa,viikko,57.12863340563992,52672.6,2224433.23,353,16.8,2019-12-23,2023-10-30T08:13:05Z
2019,51,4775,214979,Keski-Suomi,viikko,41.75448167539267,199377.65,8448289.44,1820,6.7,2019-12-23,2023-10-30T08:13:05Z
2019,51,3233,143690,Kymenlaakso,viikko,33.36684812867306,107875.02,4680826.74,1300,10.7,2019-12-23,2023-10-30T08:13:05Z
2019,51,3631,162558,Lappi,viikko,74.99279812723768,272298.85,11298473.29,1327,9.2,2019-12-23,2023-10-30T08:13:05Z
2019,51,8049,392294,Pirkanmaa,viikko,28.710272083488633,231088.98,10665712.9,2972,2.4,2019-12-23,2023-10-30T08:13:05Z
2019,51,1862,90621,Pohjanmaa,viikko,46.978469387755105,87473.91,4444567.01,779,13.2,2019-12-23,2023-10-30T08:13:05Z
2019,51,2739,126327,Pohjois-Karjala,viikko,50.42425702811245,138112.04,6257653.03,1144,4.2,2019-12-23,2023-10-30T08:13:05Z
2019,51,7031,336998,Pohjois-Pohjanmaa,viikko,49.70782107808277,349495.69,16030794.11,2673,3.5,2019-12-23,2023-10-30T08:13:05Z
2019,51,4658,215530,Pohjois-Savo,viikko,36.69723271790468,170935.71,8639265.91,1867,0.9,2019-12-23,2023-10-30T08:13:05Z
2019,51,2224,110613,Päijät-Häme,viikko,29.75476618705036,66174.6,3149701.56,868,6.4,2019-12-23,2023-10-30T08:13:05Z
2019,51,3679,181936,Satakunta,viikko,35.52720576243544,130704.59,6108916.07,1400,10.1,2019-12-23,2023-10-30T08:13:05Z
2019,51,14412,691946,Uusimaa,viikko,22.330165140160975,321822.34,15571093.31,5346,2.1,2019-12-23,2023-10-30T08:13:05Z
2019,51,7685,380004,Varsinais-Suomi,viikko,23.59851008458035,181354.55,8612518.6,2893,1.4,2019-12-23,2023-10-30T08:13:05Z
2019,50,89348,3698970,Koko Suomi,viikko,37.59695852173524,3359213.05,133340009.94,33322,6.4,2019-12-16,2023-10-30T08:13:05Z
2019,50,2691,114659,Etelä-Karjala,viikko,35.48486807878112,95489.78,3755659.14,1044,4.8,2019-12-16,2023-10-30T08:13:05Z
