code,values,class,name,description
tyyppi,saatavuusaika_ka,character,Asiakaspalvelu mittarin tyyppi,"Asiakaspalvelun mittarin tyyppi: saatavuusaika_ka, verkkohakemusten osuus, vastausprosentti tai jonotusaika"
tyyppi,verkkohakemusten osuus,character,Asiakaspalvelu mittarin tyyppi,"Asiakaspalvelun mittarin tyyppi: saatavuusaika_ka, verkkohakemusten osuus, vastausprosentti tai jonotusaika"
tyyppi,vastausprosentti,character,Asiakaspalvelu mittarin tyyppi,"Asiakaspalvelun mittarin tyyppi: saatavuusaika_ka, verkkohakemusten osuus, vastausprosentti tai jonotusaika"
tyyppi,jonotusaika,character,Asiakaspalvelu mittarin tyyppi,"Asiakaspalvelun mittarin tyyppi: saatavuusaika_ka, verkkohakemusten osuus, vastausprosentti tai jonotusaika"
vuosi,NA,integer,Viikko,Vuosi
aikatyyppi,viikko,character,Aikatyyppi,"Datan aikaresoluutio: kuukausi, viikko tai päivä"
aikatyyppi,kuukausi,character,Aikatyyppi,"Datan aikaresoluutio: kuukausi, viikko tai päivä"
kuukausi,NA,integer,Kuukauden järjestysnumero,Kuukauden järjestysnumero
viikko,NA,integer,Viikon numero,Viikon numero
paiva,NA,logical,Päivämäärä,Päivämäärä ISO 8601 -standardin muodossa (VVVV-KK-PP)
viikonpaiva,NA,logical,Viikonpäivä,Viikonpäivän nimi suomeksi
alue,Asiakkuuspalvelujen tulosyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Asiakkaan lähipalvelujen tulosyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Eteläinen asiakaspalveluyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Itäinen asiakaspalveluyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Keskinen asiakaspalveluyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Läntinen asiakaspalveluyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pohjoinen asiakaspalveluyksikkö,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Yhteyskeskus,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
