code,values,class,name,description
etuus,Perustoimeentulotuki,character,Etuus,Etuus
etuus,Sairauspäiväraha,character,Etuus,Etuus
etuus,Tartuntatautipäiväraha,character,Etuus,Etuus
etuus,Työttömyysturva,character,Etuus,Etuus
etuus,Yleinen asumistuki,character,Etuus,Etuus
etuus,Yrittäjien työmarkkinatuki,character,Etuus,Etuus
etuus,Epidemiatuki,character,Etuus,Etuus
vuosi,NA,numeric,Viikko,Vuosi
aikatyyppi,viikko,character,Aikatyyppi,"Datan aikaresoluutio: kuukausi, viikko tai päivä"
aikatyyppi,paiva,character,Aikatyyppi,"Datan aikaresoluutio: kuukausi, viikko tai päivä"
aikatyyppi,kuukausi,character,Aikatyyppi,"Datan aikaresoluutio: kuukausi, viikko tai päivä"
kuukausi,NA,numeric,Kuukauden järjestysnumero,Kuukauden järjestysnumero
viikko,NA,numeric,Viikon numero,Viikon numero
paiva,NA,Date,Päivämäärä,Päivämäärä ISO 8601 -standardin muodossa (VVVV-KK-PP)
viikonpaiva,NA,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,keskiviikko,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,torstai,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,perjantai,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,lauantai,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,sunnuntai,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,maanantai,character,Viikonpäivä,Viikonpäivän nimi suomeksi
viikonpaiva,tiistai,character,Viikonpäivä,Viikonpäivän nimi suomeksi
alue,Koko Suomi,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Etelä-Karjala,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Etelä-Pohjanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
