code,values,class,name,description
vuosi,2019,factor,Viikko,Vuosi
vuosi,2020,factor,Viikko,Vuosi
vuosi,2021,factor,Viikko,Vuosi
vuosi,2022,factor,Viikko,Vuosi
vuosi,2023,factor,Viikko,Vuosi
viikko,NA,numeric,Viikon numero,Viikon numero
matkojen_maara,NA,integer,Kelan taksimatkojen määrä,"Korvattujen matkojen lukumäärät. Matkaksi tilastoidaan yhdensuuntainen, yhdellä kulkuneuvolla samana matkapäivänä tehty matka."
matkojen_maara_kertyma,NA,integer,Matkojen määrän kertymän vuoden alusta,Korvattujen matkojen  määrän kertymän vuoden alusta
alue,Koko Suomi,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Etelä-Karjala,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Etelä-Pohjanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Etelä-Savo,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Kainuu,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Kanta-Häme,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Keski-Pohjanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Keski-Suomi,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Kymenlaakso,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Lappi,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pirkanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
