etuus;vuosi;kuukausi;paiva;alue;variable;val
Yleinen asumistuki;2019;1;2019-01-01;Etelä-Karjala;uudet saajaruokakunnat;124
Yleinen asumistuki;2019;1;2019-01-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";8838
Yleinen asumistuki;2019;1;2019-01-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;142
Yleinen asumistuki;2019;1;2019-01-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";8086
Yleinen asumistuki;2019;1;2019-01-01;Etelä-Savo;uudet saajaruokakunnat;138
Yleinen asumistuki;2019;1;2019-01-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";7531
Yleinen asumistuki;2019;1;2019-01-01;Kainuu;uudet saajaruokakunnat;43
Yleinen asumistuki;2019;1;2019-01-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3884
Yleinen asumistuki;2019;1;2019-01-01;Kanta-Häme;uudet saajaruokakunnat;130
Yleinen asumistuki;2019;1;2019-01-01;Kanta-Häme;"aiemmin tukea 
saaneet ruokakunnat";8775
Yleinen asumistuki;2019;1;2019-01-01;Keski-Pohjanmaa;uudet saajaruokakunnat;49
Yleinen asumistuki;2019;1;2019-01-01;Keski-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";2839
Yleinen asumistuki;2019;1;2019-01-01;Keski-Suomi;uudet saajaruokakunnat;335
Yleinen asumistuki;2019;1;2019-01-01;Keski-Suomi;"aiemmin tukea 
saaneet ruokakunnat";23078
Yleinen asumistuki;2019;1;2019-01-01;Kymenlaakso;uudet saajaruokakunnat;157
Yleinen asumistuki;2019;1;2019-01-01;Kymenlaakso;"aiemmin tukea 
saaneet ruokakunnat";9834
Yleinen asumistuki;2019;1;2019-01-01;Lappi;uudet saajaruokakunnat;120
Yleinen asumistuki;2019;1;2019-01-01;Lappi;"aiemmin tukea 
saaneet ruokakunnat";10481
Yleinen asumistuki;2019;1;2019-01-01;Pirkanmaa;uudet saajaruokakunnat;553
Yleinen asumistuki;2019;1;2019-01-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";39255
Yleinen asumistuki;2019;1;2019-01-01;Pohjanmaa;uudet saajaruokakunnat;142
Yleinen asumistuki;2019;1;2019-01-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";10229
Yleinen asumistuki;2019;1;2019-01-01;Pohjois-Karjala;uudet saajaruokakunnat;187
Yleinen asumistuki;2019;1;2019-01-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";13311
Yleinen asumistuki;2019;1;2019-01-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;351
Yleinen asumistuki;2019;1;2019-01-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";27493
Yleinen asumistuki;2019;1;2019-01-01;Pohjois-Savo;uudet saajaruokakunnat;277
Yleinen asumistuki;2019;1;2019-01-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";16819
Yleinen asumistuki;2019;1;2019-01-01;Päijät-Häme;uudet saajaruokakunnat;187
Yleinen asumistuki;2019;1;2019-01-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";13542
Yleinen asumistuki;2019;1;2019-01-01;Satakunta;uudet saajaruokakunnat;195
Yleinen asumistuki;2019;1;2019-01-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";11317
Yleinen asumistuki;2019;1;2019-01-01;Uusimaa;uudet saajaruokakunnat;1834
Yleinen asumistuki;2019;1;2019-01-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";118656
Yleinen asumistuki;2019;1;2019-01-01;Varsinais-Suomi;uudet saajaruokakunnat;508
Yleinen asumistuki;2019;1;2019-01-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";33268
Yleinen asumistuki;2019;2;2019-02-01;Etelä-Karjala;uudet saajaruokakunnat;196
Yleinen asumistuki;2019;2;2019-02-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";8844
Yleinen asumistuki;2019;2;2019-02-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;221
Yleinen asumistuki;2019;2;2019-02-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";8100
Yleinen asumistuki;2019;2;2019-02-01;Etelä-Savo;uudet saajaruokakunnat;201
Yleinen asumistuki;2019;2;2019-02-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";7569
Yleinen asumistuki;2019;2;2019-02-01;Kainuu;uudet saajaruokakunnat;98
Yleinen asumistuki;2019;2;2019-02-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3879
Yleinen asumistuki;2019;2;2019-02-01;Kanta-Häme;uudet saajaruokakunnat;211
Yleinen asumistuki;2019;2;2019-02-01;Kanta-Häme;"aiemmin tukea 
saaneet ruokakunnat";8751
Yleinen asumistuki;2019;2;2019-02-01;Keski-Pohjanmaa;uudet saajaruokakunnat;89
Yleinen asumistuki;2019;2;2019-02-01;Keski-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";2838
Yleinen asumistuki;2019;2;2019-02-01;Keski-Suomi;uudet saajaruokakunnat;417
Yleinen asumistuki;2019;2;2019-02-01;Keski-Suomi;"aiemmin tukea 
saaneet ruokakunnat";23066
Yleinen asumistuki;2019;2;2019-02-01;Kymenlaakso;uudet saajaruokakunnat;209
Yleinen asumistuki;2019;2;2019-02-01;Kymenlaakso;"aiemmin tukea 
saaneet ruokakunnat";9828
Yleinen asumistuki;2019;2;2019-02-01;Lappi;uudet saajaruokakunnat;241
Yleinen asumistuki;2019;2;2019-02-01;Lappi;"aiemmin tukea 
saaneet ruokakunnat";10387
Yleinen asumistuki;2019;2;2019-02-01;Pirkanmaa;uudet saajaruokakunnat;876
Yleinen asumistuki;2019;2;2019-02-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";39395
Yleinen asumistuki;2019;2;2019-02-01;Pohjanmaa;uudet saajaruokakunnat;179
Yleinen asumistuki;2019;2;2019-02-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";10206
Yleinen asumistuki;2019;2;2019-02-01;Pohjois-Karjala;uudet saajaruokakunnat;223
Yleinen asumistuki;2019;2;2019-02-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";13360
Yleinen asumistuki;2019;2;2019-02-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;666
Yleinen asumistuki;2019;2;2019-02-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";27579
Yleinen asumistuki;2019;2;2019-02-01;Pohjois-Savo;uudet saajaruokakunnat;369
Yleinen asumistuki;2019;2;2019-02-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";16708
Yleinen asumistuki;2019;2;2019-02-01;Päijät-Häme;uudet saajaruokakunnat;337
Yleinen asumistuki;2019;2;2019-02-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";13521
Yleinen asumistuki;2019;2;2019-02-01;Satakunta;uudet saajaruokakunnat;239
Yleinen asumistuki;2019;2;2019-02-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";11349
Yleinen asumistuki;2019;2;2019-02-01;Uusimaa;uudet saajaruokakunnat;2824
Yleinen asumistuki;2019;2;2019-02-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";118587
Yleinen asumistuki;2019;2;2019-02-01;Varsinais-Suomi;uudet saajaruokakunnat;706
Yleinen asumistuki;2019;2;2019-02-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";33284
Yleinen asumistuki;2019;3;2019-03-01;Etelä-Karjala;uudet saajaruokakunnat;144
Yleinen asumistuki;2019;3;2019-03-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";8830
Yleinen asumistuki;2019;3;2019-03-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;174
Yleinen asumistuki;2019;3;2019-03-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";8101
Yleinen asumistuki;2019;3;2019-03-01;Etelä-Savo;uudet saajaruokakunnat;148
Yleinen asumistuki;2019;3;2019-03-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";7587
Yleinen asumistuki;2019;3;2019-03-01;Kainuu;uudet saajaruokakunnat;89
Yleinen asumistuki;2019;3;2019-03-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3879
Yleinen asumistuki;2019;3;2019-03-01;Kanta-Häme;uudet saajaruokakunnat;183
Yleinen asumistuki;2019;3;2019-03-01;Kanta-Häme;"aiemmin tukea 
saaneet ruokakunnat";8773
Yleinen asumistuki;2019;3;2019-03-01;Keski-Pohjanmaa;uudet saajaruokakunnat;66
Yleinen asumistuki;2019;3;2019-03-01;Keski-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";2835
Yleinen asumistuki;2019;3;2019-03-01;Keski-Suomi;uudet saajaruokakunnat;353
Yleinen asumistuki;2019;3;2019-03-01;Keski-Suomi;"aiemmin tukea 
saaneet ruokakunnat";23002
Yleinen asumistuki;2019;3;2019-03-01;Kymenlaakso;uudet saajaruokakunnat;147
Yleinen asumistuki;2019;3;2019-03-01;Kymenlaakso;"aiemmin tukea 
saaneet ruokakunnat";9829
Yleinen asumistuki;2019;3;2019-03-01;Lappi;uudet saajaruokakunnat;192
Yleinen asumistuki;2019;3;2019-03-01;Lappi;"aiemmin tukea 
saaneet ruokakunnat";10324
Yleinen asumistuki;2019;3;2019-03-01;Pirkanmaa;uudet saajaruokakunnat;768
Yleinen asumistuki;2019;3;2019-03-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";39623
Yleinen asumistuki;2019;3;2019-03-01;Pohjanmaa;uudet saajaruokakunnat;155
Yleinen asumistuki;2019;3;2019-03-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";10164
Yleinen asumistuki;2019;3;2019-03-01;Pohjois-Karjala;uudet saajaruokakunnat;191
Yleinen asumistuki;2019;3;2019-03-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";13377
Yleinen asumistuki;2019;3;2019-03-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;533
Yleinen asumistuki;2019;3;2019-03-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";27572
Yleinen asumistuki;2019;3;2019-03-01;Pohjois-Savo;uudet saajaruokakunnat;263
Yleinen asumistuki;2019;3;2019-03-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";16696
Yleinen asumistuki;2019;3;2019-03-01;Päijät-Häme;uudet saajaruokakunnat;231
Yleinen asumistuki;2019;3;2019-03-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";13543
Yleinen asumistuki;2019;3;2019-03-01;Satakunta;uudet saajaruokakunnat;215
Yleinen asumistuki;2019;3;2019-03-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";11327
Yleinen asumistuki;2019;3;2019-03-01;Uusimaa;uudet saajaruokakunnat;2350
Yleinen asumistuki;2019;3;2019-03-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";118538
Yleinen asumistuki;2019;3;2019-03-01;Varsinais-Suomi;uudet saajaruokakunnat;631
Yleinen asumistuki;2019;3;2019-03-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";33276
Yleinen asumistuki;2019;5;2019-05-01;Etelä-Karjala;uudet saajaruokakunnat;126
Yleinen asumistuki;2019;5;2019-05-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";8645
Yleinen asumistuki;2019;5;2019-05-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;132
Yleinen asumistuki;2019;5;2019-05-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";7959
