etuus;vuosi;kuukausi;paiva;saajat_kaikki
Sairauspäiväraha;2019;1;2019-01-01;58918
Sairauspäiväraha;2019;2;2019-02-01;50111
Sairauspäiväraha;2019;3;2019-03-01;55721
Sairauspäiväraha;2019;4;2019-04-01;56596
Sairauspäiväraha;2019;5;2019-05-01;60827
Sairauspäiväraha;2019;6;2019-06-01;50127
Sairauspäiväraha;2019;7;2019-07-01;48457
Sairauspäiväraha;2019;8;2019-08-01;58728
Sairauspäiväraha;2019;9;2019-09-01;53633
Sairauspäiväraha;2019;10;2019-10-01;57800
Sairauspäiväraha;2019;11;2019-11-01;56748
Sairauspäiväraha;2019;12;2019-12-01;55146
Sairauspäiväraha;2020;1;2020-01-01;58070
Sairauspäiväraha;2020;2;2020-02-01;47443
Sairauspäiväraha;2020;3;2020-03-01;54255
Sairauspäiväraha;2020;4;2020-04-01;65098
Sairauspäiväraha;2020;5;2020-05-01;57542
Sairauspäiväraha;2020;6;2020-06-01;55490
Sairauspäiväraha;2020;7;2020-07-01;49680
Sairauspäiväraha;2020;8;2020-08-01;49865
Sairauspäiväraha;2020;9;2020-09-01;50158
Sairauspäiväraha;2020;10;2020-10-01;50077
Sairauspäiväraha;2020;11;2020-11-01;52150
Sairauspäiväraha;2020;12;2020-12-01;56560
Sairauspäiväraha;2021;1;2021-01-01;51747
Sairauspäiväraha;2021;2;2021-02-01;47681
Sairauspäiväraha;2021;3;2021-03-01;53348
Sairauspäiväraha;2021;4;2021-04-01;49562
Sairauspäiväraha;2021;5;2021-05-01;55375
Sairauspäiväraha;2021;6;2021-06-01;54435
Tartuntatautipäiväraha;2019;1;2019-01-01;13
Tartuntatautipäiväraha;2019;2;2019-02-01;12
Tartuntatautipäiväraha;2019;3;2019-03-01;12
Tartuntatautipäiväraha;2019;4;2019-04-01;14
Tartuntatautipäiväraha;2019;5;2019-05-01;15
Tartuntatautipäiväraha;2019;6;2019-06-01;19
Tartuntatautipäiväraha;2019;7;2019-07-01;9
Tartuntatautipäiväraha;2019;8;2019-08-01;11
Tartuntatautipäiväraha;2019;9;2019-09-01;9
Tartuntatautipäiväraha;2019;10;2019-10-01;11
Tartuntatautipäiväraha;2019;11;2019-11-01;13
Tartuntatautipäiväraha;2019;12;2019-12-01;13
Tartuntatautipäiväraha;2020;1;2020-01-01;12
Tartuntatautipäiväraha;2020;2;2020-02-01;7
Tartuntatautipäiväraha;2020;3;2020-03-01;65
Tartuntatautipäiväraha;2020;4;2020-04-01;604
Tartuntatautipäiväraha;2020;5;2020-05-01;1964
Tartuntatautipäiväraha;2020;6;2020-06-01;3713
Tartuntatautipäiväraha;2020;7;2020-07-01;3218
Tartuntatautipäiväraha;2020;8;2020-08-01;1062
Tartuntatautipäiväraha;2020;9;2020-09-01;1659
Tartuntatautipäiväraha;2020;10;2020-10-01;3019
Tartuntatautipäiväraha;2020;11;2020-11-01;4629
Tartuntatautipäiväraha;2020;12;2020-12-01;8404
Tartuntatautipäiväraha;2021;1;2021-01-01;9574
Tartuntatautipäiväraha;2021;2;2021-02-01;11842
Tartuntatautipäiväraha;2021;3;2021-03-01;16654
Tartuntatautipäiväraha;2021;4;2021-04-01;14094
Tartuntatautipäiväraha;2021;5;2021-05-01;15761
Tartuntatautipäiväraha;2021;6;2021-06-01;12399
Epidemiatuki;2019;1;2019-01-01;0
Epidemiatuki;2019;2;2019-02-01;0
Epidemiatuki;2019;3;2019-03-01;0
Epidemiatuki;2019;4;2019-04-01;0
Epidemiatuki;2019;5;2019-05-01;0
Epidemiatuki;2019;6;2019-06-01;0
Epidemiatuki;2019;7;2019-07-01;0
Epidemiatuki;2019;8;2019-08-01;0
Epidemiatuki;2019;9;2019-09-01;0
Epidemiatuki;2019;10;2019-10-01;0
Epidemiatuki;2019;11;2019-11-01;0
Epidemiatuki;2019;12;2019-12-01;0
Epidemiatuki;2020;1;2020-01-01;0
Epidemiatuki;2020;2;2020-02-01;0
Epidemiatuki;2020;3;2020-03-01;0
Epidemiatuki;2020;4;2020-04-01;0
Epidemiatuki;2020;5;2020-05-01;1913
Epidemiatuki;2020;6;2020-06-01;694
Epidemiatuki;2020;7;2020-07-01;242
Epidemiatuki;2020;8;2020-08-01;70
Epidemiatuki;2020;9;2020-09-01;30
Epidemiatuki;2020;10;2020-10-01;9
Epidemiatuki;2020;11;2020-11-01;2
Epidemiatuki;2020;12;2020-12-01;1
Epidemiatuki;2021;1;2021-01-01;0
Epidemiatuki;2021;2;2021-02-01;0
Epidemiatuki;2021;3;2021-03-01;1
Epidemiatuki;2021;4;2021-04-01;0
Epidemiatuki;2021;5;2021-05-01;0
Epidemiatuki;2021;6;2021-06-01;0
