etuus;vuosi;aikatyyppi;viikko;paiva;viikonpaiva;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;paiva;1;2020-01-01;keskiviikko;Koko Suomi;kaikki;kaikki;1155;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;1;2020-01-02;torstai;Koko Suomi;kaikki;kaikki;2473;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;1;2020-01-03;perjantai;Koko Suomi;kaikki;kaikki;2251;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;1;2020-01-04;lauantai;Koko Suomi;kaikki;kaikki;25;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;1;2020-01-05;sunnuntai;Koko Suomi;kaikki;kaikki;202;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-04;maanantai;Koko Suomi;kaikki;kaikki;2138;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-05;tiistai;Koko Suomi;kaikki;kaikki;1574;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-06;keskiviikko;Koko Suomi;kaikki;kaikki;633;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-07;torstai;Koko Suomi;kaikki;kaikki;1552;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-08;perjantai;Koko Suomi;kaikki;kaikki;1366;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-09;lauantai;Koko Suomi;kaikki;kaikki;261;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;1;2021-01-10;sunnuntai;Koko Suomi;kaikki;kaikki;517;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-06;maanantai;Koko Suomi;kaikki;kaikki;830;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-07;tiistai;Koko Suomi;kaikki;kaikki;1921;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-08;keskiviikko;Koko Suomi;kaikki;kaikki;1770;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-09;torstai;Koko Suomi;kaikki;kaikki;1540;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-10;perjantai;Koko Suomi;kaikki;kaikki;1137;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-11;lauantai;Koko Suomi;kaikki;kaikki;256;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;2;2020-01-12;sunnuntai;Koko Suomi;kaikki;kaikki;500;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-11;maanantai;Koko Suomi;kaikki;kaikki;1808;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-12;tiistai;Koko Suomi;kaikki;kaikki;1705;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-13;keskiviikko;Koko Suomi;kaikki;kaikki;1586;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-14;torstai;Koko Suomi;kaikki;kaikki;1497;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-15;perjantai;Koko Suomi;kaikki;kaikki;1291;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-16;lauantai;Koko Suomi;kaikki;kaikki;234;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;2;2021-01-17;sunnuntai;Koko Suomi;kaikki;kaikki;430;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-13;maanantai;Koko Suomi;kaikki;kaikki;1715;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-14;tiistai;Koko Suomi;kaikki;kaikki;1556;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-15;keskiviikko;Koko Suomi;kaikki;kaikki;1571;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-16;torstai;Koko Suomi;kaikki;kaikki;1414;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-17;perjantai;Koko Suomi;kaikki;kaikki;1268;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-18;lauantai;Koko Suomi;kaikki;kaikki;332;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;3;2020-01-19;sunnuntai;Koko Suomi;kaikki;kaikki;407;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;3;2021-01-18;maanantai;Koko Suomi;kaikki;kaikki;1669;2021/07/13 10:02:58
