etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2019;viikko;1;Koko Suomi;alle 25;kaikki;1985;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;25-34;kaikki;1810;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;35-44;kaikki;1336;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;45-54;kaikki;1228;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;yli 54;kaikki;830;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;alle 25;kaikki;2177;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;25-34;kaikki;3006;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;35-44;kaikki;2193;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;45-54;kaikki;1891;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;yli 54;kaikki;1288;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;alle 25;kaikki;2483;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;25-34;kaikki;2432;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;35-44;kaikki;1386;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;45-54;kaikki;1021;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;yli 54;kaikki;719;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;alle 25;miehet;1163;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;25-34;miehet;891;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;35-44;miehet;674;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;45-54;miehet;604;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;yli 54;miehet;390;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;alle 25;miehet;1252;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;25-34;miehet;1493;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;35-44;miehet;1003;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;45-54;miehet;897;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;yli 54;miehet;568;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;alle 25;miehet;1430;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;25-34;miehet;1272;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;35-44;miehet;670;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;45-54;miehet;486;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;yli 54;miehet;355;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;alle 25;naiset;822;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;25-34;naiset;919;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;35-44;naiset;662;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;45-54;naiset;624;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;1;Koko Suomi;yli 54;naiset;440;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;alle 25;naiset;925;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;25-34;naiset;1513;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;35-44;naiset;1190;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;45-54;naiset;994;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;1;Koko Suomi;yli 54;naiset;720;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;alle 25;naiset;1053;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;25-34;naiset;1160;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;35-44;naiset;716;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;45-54;naiset;535;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;1;Koko Suomi;yli 54;naiset;364;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;alle 25;kaikki;2421;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;25-34;kaikki;2558;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;35-44;kaikki;1647;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;45-54;kaikki;1396;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;yli 54;kaikki;1061;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;alle 25;kaikki;2179;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;25-34;kaikki;2382;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;35-44;kaikki;1457;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;45-54;kaikki;1143;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;yli 54;kaikki;792;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;alle 25;kaikki;2278;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;25-34;kaikki;2608;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;35-44;kaikki;1633;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;45-54;kaikki;1159;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;yli 54;kaikki;873;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;alle 25;miehet;1358;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;25-34;miehet;1245;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;35-44;miehet;776;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;45-54;miehet;646;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;yli 54;miehet;530;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;alle 25;miehet;1326;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;25-34;miehet;1214;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;35-44;miehet;693;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;45-54;miehet;573;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;yli 54;miehet;394;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;alle 25;miehet;1256;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;25-34;miehet;1343;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;35-44;miehet;771;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;45-54;miehet;549;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;yli 54;miehet;420;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;alle 25;naiset;1063;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;25-34;naiset;1313;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;35-44;naiset;871;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;45-54;naiset;750;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;2;Koko Suomi;yli 54;naiset;531;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;alle 25;naiset;853;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;25-34;naiset;1168;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;35-44;naiset;764;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;45-54;naiset;570;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;2;Koko Suomi;yli 54;naiset;398;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;alle 25;naiset;1022;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;25-34;naiset;1265;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;35-44;naiset;862;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;45-54;naiset;610;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;2;Koko Suomi;yli 54;naiset;453;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;alle 25;kaikki;2237;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;25-34;kaikki;2576;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;35-44;kaikki;1735;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;45-54;kaikki;1476;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;yli 54;kaikki;993;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;alle 25;kaikki;2182;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;25-34;kaikki;2410;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;35-44;kaikki;1630;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;45-54;kaikki;1159;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;yli 54;kaikki;881;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;alle 25;kaikki;2148;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;25-34;kaikki;2375;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;35-44;kaikki;1572;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;45-54;kaikki;1094;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;yli 54;kaikki;797;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;alle 25;miehet;1224;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;25-34;miehet;1313;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;35-44;miehet;799;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;45-54;miehet;736;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;yli 54;miehet;476;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;alle 25;miehet;1291;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;25-34;miehet;1313;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;35-44;miehet;801;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;45-54;miehet;568;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;yli 54;miehet;458;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;alle 25;miehet;1201;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;25-34;miehet;1154;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;35-44;miehet;759;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;45-54;miehet;527;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;yli 54;miehet;406;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;alle 25;naiset;1013;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;25-34;naiset;1263;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;35-44;naiset;936;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;45-54;naiset;740;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;3;Koko Suomi;yli 54;naiset;517;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;alle 25;naiset;891;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;25-34;naiset;1097;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;35-44;naiset;829;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;45-54;naiset;591;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;3;Koko Suomi;yli 54;naiset;423;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;alle 25;naiset;947;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;25-34;naiset;1221;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;35-44;naiset;813;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;45-54;naiset;567;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;3;Koko Suomi;yli 54;naiset;391;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;alle 25;kaikki;2245;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;25-34;kaikki;2441;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;35-44;kaikki;1548;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;45-54;kaikki;1367;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;yli 54;kaikki;940;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;alle 25;kaikki;2041;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;25-34;kaikki;2149;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;35-44;kaikki;1397;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;45-54;kaikki;1068;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;yli 54;kaikki;718;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;alle 25;kaikki;1911;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;25-34;kaikki;2305;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;35-44;kaikki;1348;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;45-54;kaikki;990;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;yli 54;kaikki;691;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;alle 25;miehet;1265;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;25-34;miehet;1248;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;35-44;miehet;774;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;45-54;miehet;667;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;yli 54;miehet;492;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;alle 25;miehet;1176;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;25-34;miehet;1158;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;35-44;miehet;693;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;45-54;miehet;577;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;yli 54;miehet;381;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;alle 25;miehet;1018;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;25-34;miehet;1165;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;35-44;miehet;682;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;45-54;miehet;498;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;yli 54;miehet;371;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;alle 25;naiset;980;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;25-34;naiset;1193;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;35-44;naiset;774;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;45-54;naiset;700;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;4;Koko Suomi;yli 54;naiset;448;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;alle 25;naiset;865;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;25-34;naiset;991;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;35-44;naiset;704;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;45-54;naiset;491;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;4;Koko Suomi;yli 54;naiset;337;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;alle 25;naiset;893;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;25-34;naiset;1140;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;35-44;naiset;666;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;45-54;naiset;492;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;4;Koko Suomi;yli 54;naiset;320;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;alle 25;kaikki;2401;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;25-34;kaikki;3227;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;35-44;kaikki;2154;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;45-54;kaikki;1896;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;yli 54;kaikki;1163;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;alle 25;kaikki;2121;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;25-34;kaikki;2593;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;35-44;kaikki;1753;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;45-54;kaikki;1444;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;yli 54;kaikki;946;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;alle 25;kaikki;1797;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;25-34;kaikki;2147;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;35-44;kaikki;1416;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;45-54;kaikki;1018;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;yli 54;kaikki;796;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;alle 25;miehet;1277;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;25-34;miehet;1633;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;35-44;miehet;1025;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;45-54;miehet;923;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;yli 54;miehet;586;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;alle 25;miehet;1166;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;25-34;miehet;1316;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;35-44;miehet;824;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;45-54;miehet;704;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;yli 54;miehet;441;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;alle 25;miehet;971;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;25-34;miehet;1139;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;35-44;miehet;679;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;45-54;miehet;498;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;5;Koko Suomi;yli 54;miehet;394;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;alle 25;naiset;1124;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;25-34;naiset;1594;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;35-44;naiset;1129;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;45-54;naiset;973;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;5;Koko Suomi;yli 54;naiset;577;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;alle 25;naiset;955;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;25-34;naiset;1277;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;35-44;naiset;929;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;45-54;naiset;740;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;5;Koko Suomi;yli 54;naiset;505;2021/03/02 12:03:58
