SHP;DATE;DAY_CASES;TOTAL_CASES;lab;updated;WEEK;LABEL;GROUP;Y
Kaikki Alueet;2020-01-28;1;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-01-29;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-01-30;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-01-31;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-01;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-02;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-03;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-04;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-05;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-06;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-07;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-08;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-09;0;1;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-10;1;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-11;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-12;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-13;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-14;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-15;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-16;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-17;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-18;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-19;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-20;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-21;0;2;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-22;1;3;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-23;0;3;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-24;0;3;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-25;1;4;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-26;0;4;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-27;1;5;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-28;3;8;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-02-29;1;9;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-01;1;10;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-02;0;10;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-03;4;14;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-04;6;20;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-05;1;21;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-06;7;28;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-07;7;35;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-08;9;44;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-09;17;61;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-10;54;115;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-11;76;191;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-12;60;251;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-13;28;279;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-14;29;308;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-15;53;361;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-16;52;413;Varmistettuja koronatapauksia;2021-03-26;12;Valmiuslaki voimaan;1;12
Kaikki Alueet;2020-03-17;47;460;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-18;90;550;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-19;99;649;Varmistettuja koronatapauksia;2021-03-26;12;Maahantulorajoitukset Suomen ulkorajoille;2;12
Kaikki Alueet;2020-03-20;87;736;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-21;87;823;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-22;78;901;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-23;84;985;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-03-24;99;1084;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
