toimenpideluokka;alue;korvatut_testit_lkm;viikko;vuosi;aikatyyppi;updated;paiva
Antigeenitutkimus;Koko Suomi;179;1;2021;viikko;2021/03/08 13:03:50;2021-01-04
Antigeenitutkimus;Koko Suomi;228;2;2021;viikko;2021/03/08 13:03:50;2021-01-11
Antigeenitutkimus;Koko Suomi;155;3;2021;viikko;2021/03/08 13:03:50;2021-01-18
Antigeenitutkimus;Koko Suomi;397;4;2021;viikko;2021/03/08 13:03:50;2021-01-25
Antigeenitutkimus;Koko Suomi;234;5;2021;viikko;2021/03/08 13:03:50;2021-02-01
Antigeenitutkimus;Koko Suomi;157;6;2021;viikko;2021/03/08 13:03:50;2021-02-08
Antigeenitutkimus;Koko Suomi;212;7;2021;viikko;2021/03/08 13:03:50;2021-02-15
Antigeenitutkimus;Koko Suomi;160;8;2021;viikko;2021/03/08 13:03:50;2021-02-22
Antigeenitutkimus;Koko Suomi;111;9;2021;viikko;2021/03/08 13:03:50;2021-03-01
Antigeenitutkimus;Koko Suomi;2;39;2020;viikko;2021/03/08 13:03:50;2020-09-28
Antigeenitutkimus;Koko Suomi;66;40;2020;viikko;2021/03/08 13:03:50;2020-10-05
Antigeenitutkimus;Koko Suomi;110;41;2020;viikko;2021/03/08 13:03:50;2020-10-12
Antigeenitutkimus;Koko Suomi;110;42;2020;viikko;2021/03/08 13:03:50;2020-10-19
Antigeenitutkimus;Koko Suomi;155;43;2020;viikko;2021/03/08 13:03:50;2020-10-26
Antigeenitutkimus;Koko Suomi;80;44;2020;viikko;2021/03/08 13:03:50;2020-11-02
Antigeenitutkimus;Koko Suomi;162;45;2020;viikko;2021/03/08 13:03:50;2020-11-09
Antigeenitutkimus;Koko Suomi;114;46;2020;viikko;2021/03/08 13:03:50;2020-11-16
Antigeenitutkimus;Koko Suomi;106;47;2020;viikko;2021/03/08 13:03:50;2020-11-23
Antigeenitutkimus;Koko Suomi;62;48;2020;viikko;2021/03/08 13:03:50;2020-11-30
Antigeenitutkimus;Koko Suomi;124;49;2020;viikko;2021/03/08 13:03:50;2020-12-07
Antigeenitutkimus;Koko Suomi;142;50;2020;viikko;2021/03/08 13:03:50;2020-12-14
Antigeenitutkimus;Koko Suomi;114;51;2020;viikko;2021/03/08 13:03:50;2020-12-21
Antigeenitutkimus;Koko Suomi;123;52;2020;viikko;2021/03/08 13:03:50;2020-12-28
Antigeenitutkimus;Koko Suomi;238;53;2020;viikko;2021/03/08 13:03:50;NA
Nukleiinihappotutkimus;Koko Suomi;2237;1;2021;viikko;2021/03/08 13:03:50;2021-01-04
Nukleiinihappotutkimus;Koko Suomi;2488;2;2021;viikko;2021/03/08 13:03:50;2021-01-11
Nukleiinihappotutkimus;Koko Suomi;1522;3;2021;viikko;2021/03/08 13:03:50;2021-01-18
Nukleiinihappotutkimus;Koko Suomi;3516;4;2021;viikko;2021/03/08 13:03:50;2021-01-25
Nukleiinihappotutkimus;Koko Suomi;2953;5;2021;viikko;2021/03/08 13:03:50;2021-02-01
Nukleiinihappotutkimus;Koko Suomi;3209;6;2021;viikko;2021/03/08 13:03:50;2021-02-08
Nukleiinihappotutkimus;Koko Suomi;6066;7;2021;viikko;2021/03/08 13:03:50;2021-02-15
Nukleiinihappotutkimus;Koko Suomi;7370;8;2021;viikko;2021/03/08 13:03:50;2021-02-22
