vuosi;viikko;matkojen_maara;matkojen_maara_kertyma;alue;aikatyyppi;pituus_keskiarvo;pituus_viikkosumma;pituus_viikkosumma_kertyma;asiakkaiden_maara;paiva;updated
2021;1;49159;49159;Koko Suomi;viikko;38,3406346955797;1884787,261;1884787,261;21402;2021-01-04;2021/03/09 07:39:34
2021;2;77429;126588;Koko Suomi;viikko;38,4859363804259;2979927,568;4864714,829;31737;2021-01-11;2021/03/09 07:39:34
2021;3;79094;205682;Koko Suomi;viikko;38,4635145649480;3042233,221;7906948,050;31983;2021-01-18;2021/03/09 07:39:34
2021;4;79603;285285;Koko Suomi;viikko;37,9622090750349;3021905,729;10928853,779;31896;2021-01-25;2021/03/09 07:39:34
2020;1;46805;46805;Koko Suomi;viikko;37,2140147420147;1741801,960;1741801,960;20155;2020-01-06;2021/03/09 07:39:34
2020;2;78759;125564;Koko Suomi;viikko;38,1195650020950;3002258,820;4744060,780;30900;2020-01-13;2021/03/09 07:39:34
2020;3;78325;203889;Koko Suomi;viikko;38,0002833067348;2976372,190;7720432,970;30829;2020-01-20;2021/03/09 07:39:34
2020;4;77963;281852;Koko Suomi;viikko;38,4357082205662;2996563,120;10716996,090;30696;2020-01-27;2021/03/09 07:39:34
2020;5;78413;360265;Koko Suomi;viikko;38,1545670998431;2991814,070;13708810,160;30602;2020-02-03;2021/03/09 07:39:34
2020;6;79001;439266;Koko Suomi;viikko;37,7100083543246;2979128,370;16687938,530;30889;2020-02-10;2021/03/09 07:39:34
2020;7;77962;517228;Koko Suomi;viikko;37,5223714117134;2925319,120;19613257,650;30491;2020-02-17;2021/03/09 07:39:34
2020;8;75471;592699;Koko Suomi;viikko;37,9204728968743;2861896,010;22475153,660;29386;2020-02-24;2021/03/09 07:39:34
2020;9;74636;667335;Koko Suomi;viikko;36,7158120746021;2740321,350;25215475,010;28926;2020-03-02;2021/03/09 07:39:34
2020;10;77646;744981;Koko Suomi;viikko;37,4611020529068;2908704,730;28124179,740;29997;2020-03-09;2021/03/09 07:39:34
2020;11;69576;814557;Koko Suomi;viikko;39,2508768828332;2730919,010;30855098,750;27434;2020-03-16;2021/03/09 07:39:34
2020;12;43959;858516;Koko Suomi;viikko;43,1606763120180;1897300,170;32752398,920;18181;2020-03-23;2021/03/09 07:39:34
2020;13;42349;900865;Koko Suomi;viikko;40,4835847363574;1714439,330;34466838,250;16792;2020-03-30;2021/03/09 07:39:34
2020;14;43077;943942;Koko Suomi;viikko;39,8620832462799;1717138,960;36183977,210;16866;2020-04-06;2021/03/09 07:39:34
2020;15;33045;976987;Koko Suomi;viikko;37,3041673475564;1232716,210;37416693,420;13480;2020-04-13;2021/03/09 07:39:34
2020;16;45294;1022281;Koko Suomi;viikko;39,5015781339692;1789184,480;39205877,900;17879;2020-04-20;2021/03/09 07:39:34
