vuosi;viikko;matkojen_maara;matkojen_maara_kertyma;alue;aikatyyppi;pituus_keskiarvo;pituus_viikkosumma;pituus_viikkosumma_kertyma;asiakkaiden_maara;mk_valinen_osuus;paiva;updated
2019;1;51832;51832;Koko Suomi;viikko;36,6683052940269;1900591,600;1900591,600;23618;5,6;2019-01-07;2021/06/07 06:40:22
2019;2;70141;121973;Koko Suomi;viikko;36,9429233971572;2591213,590;4491805,190;30327;5,6;2019-01-14;2021/06/07 06:40:22
2019;3;72826;194799;Koko Suomi;viikko;36,6828421168264;2671464,660;7163269,850;31137;5,8;2019-01-21;2021/06/07 06:40:22
2019;4;72362;267161;Koko Suomi;viikko;36,4568165611785;2638088,160;9801358,010;30884;6,0;2019-01-28;2021/06/07 06:40:22
2019;5;73435;340596;Koko Suomi;viikko;36,7658533396882;2699900,440;12501258,450;31089;6,1;2019-02-04;2021/06/07 06:40:22
2019;6;74171;414767;Koko Suomi;viikko;35,9654865109005;2667596,100;15168854,550;31301;6,0;2019-02-11;2021/06/07 06:40:22
2019;7;73400;488167;Koko Suomi;viikko;36,2821777929155;2663111,850;17831966,400;31155;5,9;2019-02-18;2021/06/07 06:40:22
2019;8;69645;557812;Koko Suomi;viikko;36,1025980328810;2514365,440;20346331,840;29527;5,9;2019-02-25;2021/06/07 06:40:22
2019;9;69163;626975;Koko Suomi;viikko;36,1061093359166;2497206,840;22843538,680;29120;5,7;2019-03-04;2021/06/07 06:40:22
2019;10;71835;698810;Koko Suomi;viikko;34,9889304656504;2513429,820;25356968,500;29996;5,5;2019-03-11;2021/06/07 06:40:22
2019;11;73641;772451;Koko Suomi;viikko;35,5831361605627;2620377,730;27977346,230;30631;5,7;2019-03-18;2021/06/07 06:40:22
2019;12;72878;845329;Koko Suomi;viikko;35,7562998435742;2605847,620;30583193,850;30026;5,8;2019-03-25;2021/06/07 06:40:22
2019;13;72444;917773;Koko Suomi;viikko;35,7249918557783;2588061,310;33171255,160;29914;5,8;2019-04-01;2021/06/07 06:40:22
2019;14;72232;990005;Koko Suomi;viikko;36,0330199911397;2602737,100;35773992,260;29977;5,7;2019-04-08;2021/06/07 06:40:22
2019;15;73850;1063855;Koko Suomi;viikko;35,5755260663507;2627252,600;38401244,860;30102;5,7;2019-04-15;2021/06/07 06:40:22
2019;16;50736;1114591;Koko Suomi;viikko;34,7519727609587;1763176,090;40164420,950;22481;5,6;2019-04-22;2021/06/07 06:40:22
2019;17;74243;1188834;Koko Suomi;viikko;35,4503510095228;2631940,410;42796361,360;29817;6,3;2019-04-29;2021/06/07 06:40:22
2019;18;63703;1252537;Koko Suomi;viikko;35,8483399525925;2283646,800;45080008,160;26809;6,4;2019-05-06;2021/06/07 06:40:22
2019;19;74889;1327426;Koko Suomi;viikko;35,5479306707260;2662148,980;47742157,140;30543;6,2;2019-05-13;2021/06/07 06:40:22
2019;20;80151;1407577;Koko Suomi;viikko;35,6922949183416;2860773,130;50602930,270;30607;6,3;2019-05-20;2021/06/07 06:40:22
2019;21;84858;1492435;Koko Suomi;viikko;35,1593502085838;2983552,140;53586482,410;30548;6,3;2019-05-27;2021/06/07 06:40:22
2019;22;69692;1562127;Koko Suomi;viikko;35,0595147219193;2443367,700;56029850,110;25959;6,3;2019-06-03;2021/06/07 06:40:22
2019;23;82193;1644320;Koko Suomi;viikko;35,3735893567579;2907461,430;58937311,540;29895;6,3;2019-06-10;2021/06/07 06:40:22
2019;24;80061;1724381;Koko Suomi;viikko;36,8834803462360;2952928,320;61890239,860;29509;6,3;2019-06-17;2021/06/07 06:40:22
2019;25;64758;1789139;Koko Suomi;viikko;37,2917097501467;2414936,540;64305176,400;25419;6,4;2019-06-24;2021/06/07 06:40:22
2019;26;66980;1856119;Koko Suomi;viikko;36,3548928038220;2435050,720;66740227,120;25285;6,1;2019-07-01;2021/06/07 06:40:22
2019;27;59525;1915644;Koko Suomi;viikko;35,6845732045359;2124124,220;68864351,340;22976;5,9;2019-07-08;2021/06/07 06:40:22
2019;28;55763;1971407;Koko Suomi;viikko;36,0209301866829;2008635,130;70872986,470;21530;6,0;2019-07-15;2021/06/07 06:40:22
2019;29;53294;2024701;Koko Suomi;viikko;36,0392182984951;1920674,100;72793660,570;20579;6,1;2019-07-22;2021/06/07 06:40:22
2019;30;55036;2079737;Koko Suomi;viikko;37,0086356203212;2036807,270;74830467,840;21262;6,1;2019-07-29;2021/06/07 06:40:22
2019;31;60761;2140498;Koko Suomi;viikko;36,6957380556607;2229669,740;77060137,580;23355;6,1;2019-08-05;2021/06/07 06:40:22
2019;32;68432;2208930;Koko Suomi;viikko;36,6319252688801;2506795,910;79566933,490;26022;6,1;2019-08-12;2021/06/07 06:40:22
2019;33;76860;2285790;Koko Suomi;viikko;36,0033225344783;2767215,370;82334148,860;28977;5,8;2019-08-19;2021/06/07 06:40:22
2019;34;77554;2363344;Koko Suomi;viikko;36,2173134847977;2808797,530;85142946,390;29216;5,6;2019-08-26;2021/06/07 06:40:22
2019;35;80036;2443380;Koko Suomi;viikko;35,9320759408266;2875859,630;88018806,020;30105;6,0;2019-09-02;2021/06/07 06:40:22
2019;36;81564;2524944;Koko Suomi;viikko;35,8302575891325;2922459,130;90941265,150;30419;5,9;2019-09-09;2021/06/07 06:40:22
2019;37;82252;2607196;Koko Suomi;viikko;35,8446520449351;2948294,320;93889559,470;30890;6,1;2019-09-16;2021/06/07 06:40:22
2019;38;82823;2690019;Koko Suomi;viikko;35,9238267148014;2975319,100;96864878,570;30886;5,8;2019-09-23;2021/06/07 06:40:22
2019;39;82463;2772482;Koko Suomi;viikko;35,8976599202066;2960228,730;99825107,300;30718;6,0;2019-09-30;2021/06/07 06:40:22
2019;40;82735;2855217;Koko Suomi;viikko;35,4741578533873;2934954,450;102760061,750;31322;6,1;2019-10-07;2021/06/07 06:40:22
2019;41;82307;2937524;Koko Suomi;viikko;36,0410502144411;2966430,720;105726492,470;31012;6,1;2019-10-14;2021/06/07 06:40:22
2019;42;77245;3014769;Koko Suomi;viikko;35,1382063563985;2714250,750;108440743,220;28976;5,9;2019-10-21;2021/06/07 06:40:22
2019;43;82266;3097035;Koko Suomi;viikko;35,8489587435879;2949150,440;111389893,660;30782;5,9;2019-10-28;2021/06/07 06:40:22
2019;44;85334;3182369;Koko Suomi;viikko;36,1848219935782;3087795,600;114477689,260;31883;6,2;2019-11-04;2021/06/07 06:40:22
2019;45;86487;3268856;Koko Suomi;viikko;36,1361343323274;3125305,850;117602995,110;32148;6,3;2019-11-11;2021/06/07 06:40:22
2019;46;86565;3355421;Koko Suomi;viikko;35,5153350661353;3074384,980;120677380,090;31834;6,2;2019-11-18;2021/06/07 06:40:22
2019;47;86771;3442192;Koko Suomi;viikko;35,8968189833009;3114802,880;123792182,970;32236;6,1;2019-11-25;2021/06/07 06:40:22
2019;48;88948;3531140;Koko Suomi;viikko;36,6931274452489;3263780,300;127055963,270;32893;6,3;2019-12-02;2021/06/07 06:40:22
2019;49;78431;3609571;Koko Suomi;viikko;37,2642019099591;2922668,620;129978631,890;30444;6,3;2019-12-09;2021/06/07 06:40:22
2019;50;89348;3698919;Koko Suomi;viikko;37,5969585217352;3359213,050;133337844,940;33322;6,4;2019-12-16;2021/06/07 06:40:22
2019;51;79275;3778194;Koko Suomi;viikko;37,1956309050773;2948683,640;136286528,580;30198;6,1;2019-12-23;2021/06/07 06:40:22
2019;52;33282;3811476;Koko Suomi;viikko;34,4948807163031;1148058,620;137434587,200;13793;5,0;2019-12-30;2021/06/07 06:40:22
2020;1;46813;46813;Koko Suomi;viikko;37,2101884092026;1741920,550;1741920,550;20155;5,6;2020-01-06;2021/06/07 06:40:22
2020;2;78765;125578;Koko Suomi;viikko;38,1189664190948;3002440,390;4744360,940;30900;6,3;2020-01-13;2021/06/07 06:40:22
2020;3;78333;203911;Koko Suomi;viikko;37,9970444129549;2976422,480;7720783,420;30829;6,5;2020-01-20;2021/06/07 06:40:22
2020;4;77971;281882;Koko Suomi;viikko;38,4323975580665;2996612,470;10717395,890;30696;6,7;2020-01-27;2021/06/07 06:40:22
2020;5;78415;360297;Koko Suomi;viikko;38,1541127335331;2991854,750;13709250,640;30602;6,6;2020-02-03;2021/06/07 06:40:22
2020;6;79006;439303;Koko Suomi;viikko;37,7080858415816;2979165,030;16688415,670;30889;6,5;2020-02-10;2021/06/07 06:40:22
2020;7;77969;517272;Koko Suomi;viikko;37,5196283138170;2925367,900;19613783,570;30491;6,3;2020-02-17;2021/06/07 06:40:22
2020;8;75483;592755;Koko Suomi;viikko;37,9152891379516;2861959,770;22475743,340;29386;6,3;2020-02-24;2021/06/07 06:40:22
