vuosi;viikko;matkojen_maara;matkojen_maara_kertyma;alue;aikatyyppi;pituus_keskiarvo;pituus_viikkosumma;pituus_viikkosumma_kertyma;paiva;updated
2020;1;46805;46805;Koko Suomi;viikko;37,2140147420147;1741801,96;1741801,96;2020-01-06;2021/01/20 07:42:50
2020;2;78749;125554;Koko Suomi;viikko;38,1212944926285;3002013,82;4743815,78;2020-01-13;2021/01/20 07:42:50
2020;3;78313;203867;Koko Suomi;viikko;38,0027494796522;2976109,32;7719925,10;2020-01-20;2021/01/20 07:42:50
2020;4;77957;281824;Koko Suomi;viikko;38,4377325961748;2996490,32;10716415,42;2020-01-27;2021/01/20 07:42:50
2020;5;78393;360217;Koko Suomi;viikko;38,1603148240277;2991501,56;13707916,98;2020-02-03;2021/01/20 07:42:50
2020;6;78991;439208;Koko Suomi;viikko;37,7133289868466;2979013,57;16686930,55;2020-02-10;2021/01/20 07:42:50
2020;7;77958;517166;Koko Suomi;viikko;37,5237989686754;2925280,32;19612210,87;2020-02-17;2021/01/20 07:42:50
2020;8;75468;592634;Koko Suomi;viikko;37,9218782795357;2861888,31;22474099,18;2020-02-24;2021/01/20 07:42:50
2020;9;74636;667270;Koko Suomi;viikko;36,7158120746021;2740321,35;25214420,53;2020-03-02;2021/01/20 07:42:50
2020;10;77646;744916;Koko Suomi;viikko;37,4611020529068;2908704,73;28123125,26;2020-03-09;2021/01/20 07:42:50
2020;11;69574;814490;Koko Suomi;viikko;39,2515280133383;2730885,81;30854011,07;2020-03-16;2021/01/20 07:42:50
2020;12;43959;858449;Koko Suomi;viikko;43,1606763120180;1897300,17;32751311,24;2020-03-23;2021/01/20 07:42:50
2020;13;42349;900798;Koko Suomi;viikko;40,4835847363574;1714439,33;34465750,57;2020-03-30;2021/01/20 07:42:50
2020;14;43057;943855;Koko Suomi;viikko;39,8715419095617;1716748,98;36182499,55;2020-04-06;2021/01/20 07:42:50
2020;15;33023;976878;Koko Suomi;viikko;37,3019683251067;1231822,90;37414322,45;2020-04-13;2021/01/20 07:42:50
2020;16;45290;1022168;Koko Suomi;viikko;39,5045292559064;1789160,13;39203482,58;2020-04-20;2021/01/20 07:42:50
2020;17;46039;1068207;Koko Suomi;viikko;40,4448285149547;1862039,46;41065522,04;2020-04-27;2021/01/20 07:42:50
2020;18;43443;1111650;Koko Suomi;viikko;39,9498285109224;1735540,40;42801062,44;2020-05-04;2021/01/20 07:42:50
2020;19;52448;1164098;Koko Suomi;viikko;41,2569953096400;2163846,89;44964909,33;2020-05-11;2021/01/20 07:42:50
2020;20;56125;1220223;Koko Suomi;viikko;40,2813439643653;2260790,43;47225699,76;2020-05-18;2021/01/20 07:42:50
2020;21;49320;1269543;Koko Suomi;viikko;38,9667084347121;1921838,06;49147537,82;2020-05-25;2021/01/20 07:42:50
2020;22;60890;1330433;Koko Suomi;viikko;39,9426160289046;2432105,89;51579643,71;2020-06-01;2021/01/20 07:42:50
2020;23;65071;1395504;Koko Suomi;viikko;38,3703878840036;2496799,51;54076443,22;2020-06-08;2021/01/20 07:42:50
2020;24;67563;1463067;Koko Suomi;viikko;38,7660601216642;2619151,32;56695594,54;2020-06-15;2021/01/20 07:42:50
2020;25;57216;1520283;Koko Suomi;viikko;38,1732691904362;2184121,77;58879716,31;2020-06-22;2021/01/20 07:42:50
2020;26;62870;1583153;Koko Suomi;viikko;36,8726071258152;2318180,81;61197897,12;2020-06-29;2021/01/20 07:42:50
2020;27;58195;1641348;Koko Suomi;viikko;36,6909682962454;2135230,90;63333128,02;2020-07-06;2021/01/20 07:42:50
2020;28;54954;1696302;Koko Suomi;viikko;35,4399444990356;1947566,71;65280694,73;2020-07-13;2021/01/20 07:42:50
2020;29;53935;1750237;Koko Suomi;viikko;36,2912702326875;1957369,66;67238064,39;2020-07-20;2021/01/20 07:42:50
2020;30;54192;1804429;Koko Suomi;viikko;36,2245017714792;1963078,20;69201142,59;2020-07-27;2021/01/20 07:42:50
2020;31;57680;1862109;Koko Suomi;viikko;36,7891777045770;2121999,77;71323142,36;2020-08-03;2021/01/20 07:42:50
2020;32;65811;1927920;Koko Suomi;viikko;36,8154990807008;2422864,81;73746007,17;2020-08-10;2021/01/20 07:42:50
2020;33;71977;1999897;Koko Suomi;viikko;36,7851210803451;2647682,66;76393689,83;2020-08-17;2021/01/20 07:42:50
2020;34;74963;2074860;Koko Suomi;viikko;36,7450406200392;2754518,48;79148208,31;2020-08-24;2021/01/20 07:42:50
2020;35;75396;2150256;Koko Suomi;viikko;36,9019540824447;2782259,73;81930468,04;2020-08-31;2021/01/20 07:42:50
2020;36;78434;2228690;Koko Suomi;viikko;36,8123338093174;2887338,59;84817806,63;2020-09-07;2021/01/20 07:42:50
2020;37;79702;2308392;Koko Suomi;viikko;36,6907322275476;2924324,74;87742131,37;2020-09-14;2021/01/20 07:42:50
2020;38;80060;2388452;Koko Suomi;viikko;36,3869901324007;2913142,43;90655273,80;2020-09-21;2021/01/20 07:42:50
2020;39;81223;2469675;Koko Suomi;viikko;36,1376617460571;2935209,30;93590483,10;2020-09-28;2021/01/20 07:42:50
2020;40;80784;2550459;Koko Suomi;viikko;36,1510240889285;2920424,33;96510907,43;2020-10-05;2021/01/20 07:42:50
2020;41;77650;2628109;Koko Suomi;viikko;36,2190332260142;2812407,93;99323315,36;2020-10-12;2021/01/20 07:42:50
2020;42;76204;2704313;Koko Suomi;viikko;36,4544088236838;2777971,77;102101287,13;2020-10-19;2021/01/20 07:42:50
2020;43;81245;2785558;Koko Suomi;viikko;36,5203302357068;2967094,23;105068381,36;2020-10-26;2021/01/20 07:42:50
2020;44;80785;2866343;Koko Suomi;viikko;36,6848168595655;2963582,93;108031964,29;2020-11-02;2021/01/20 07:42:50
2020;45;81456;2947799;Koko Suomi;viikko;36,2142140542133;2949865,02;110981829,31;2020-11-09;2021/01/20 07:42:50
2020;46;82098;3029897;Koko Suomi;viikko;36,2381865575288;2975082,64;113956911,95;2020-11-16;2021/01/20 07:42:50
2020;47;83122;3113019;Koko Suomi;viikko;36,4232709751931;3027575,13;116984487,08;2020-11-23;2021/01/20 07:42:50
2020;48;81511;3194530;Koko Suomi;viikko;37,0321734489823;3018529,49;120003016,57;2020-11-30;2021/01/20 07:42:50
2020;49;82546;3277076;Koko Suomi;viikko;37,6680396385046;3109346,00;123112362,57;2020-12-07;2021/01/20 07:42:50
2019;1;51832;51832;Koko Suomi;viikko;36,6683052940269;1900591,60;1900591,60;2019-01-07;2021/01/20 07:42:50
2019;2;70141;121973;Koko Suomi;viikko;36,9429233971572;2591213,59;4491805,19;2019-01-14;2021/01/20 07:42:50
2019;3;72826;194799;Koko Suomi;viikko;36,6828421168264;2671464,66;7163269,85;2019-01-21;2021/01/20 07:42:50
2019;4;72362;267161;Koko Suomi;viikko;36,4568165611785;2638088,16;9801358,01;2019-01-28;2021/01/20 07:42:50
2019;5;73435;340596;Koko Suomi;viikko;36,7658533396882;2699900,44;12501258,45;2019-02-04;2021/01/20 07:42:50
2019;6;74171;414767;Koko Suomi;viikko;35,9654865109005;2667596,10;15168854,55;2019-02-11;2021/01/20 07:42:50
2019;7;73399;488166;Koko Suomi;viikko;36,2822293219254;2663079,35;17831933,90;2019-02-18;2021/01/20 07:42:50
2019;8;69645;557811;Koko Suomi;viikko;36,1025980328810;2514365,44;20346299,34;2019-02-25;2021/01/20 07:42:50
2019;9;69163;626974;Koko Suomi;viikko;36,1061093359166;2497206,84;22843506,18;2019-03-04;2021/01/20 07:42:50
2019;10;71835;698809;Koko Suomi;viikko;34,9889304656504;2513429,82;25356936,00;2019-03-11;2021/01/20 07:42:50
2019;11;73641;772450;Koko Suomi;viikko;35,5831361605627;2620377,73;27977313,73;2019-03-18;2021/01/20 07:42:50
2019;12;72878;845328;Koko Suomi;viikko;35,7562998435742;2605847,62;30583161,35;2019-03-25;2021/01/20 07:42:50
2019;13;72444;917772;Koko Suomi;viikko;35,7249918557783;2588061,31;33171222,66;2019-04-01;2021/01/20 07:42:50
2019;14;72232;990004;Koko Suomi;viikko;36,0330199911397;2602737,10;35773959,76;2019-04-08;2021/01/20 07:42:50
2019;15;73850;1063854;Koko Suomi;viikko;35,5755260663507;2627252,60;38401212,36;2019-04-15;2021/01/20 07:42:50
2019;16;50736;1114590;Koko Suomi;viikko;34,7519727609587;1763176,09;40164388,45;2019-04-22;2021/01/20 07:42:50
2019;17;74243;1188833;Koko Suomi;viikko;35,4503510095228;2631940,41;42796328,86;2019-04-29;2021/01/20 07:42:50
2019;18;63703;1252536;Koko Suomi;viikko;35,8483399525925;2283646,80;45079975,66;2019-05-06;2021/01/20 07:42:50
2019;19;74889;1327425;Koko Suomi;viikko;35,5479306707260;2662148,98;47742124,64;2019-05-13;2021/01/20 07:42:50
2019;20;80151;1407576;Koko Suomi;viikko;35,6922949183416;2860773,13;50602897,77;2019-05-20;2021/01/20 07:42:50
2019;21;84858;1492434;Koko Suomi;viikko;35,1593502085838;2983552,14;53586449,91;2019-05-27;2021/01/20 07:42:50
2019;22;69692;1562126;Koko Suomi;viikko;35,0595147219193;2443367,70;56029817,61;2019-06-03;2021/01/20 07:42:50
2019;23;82193;1644319;Koko Suomi;viikko;35,3735893567579;2907461,43;58937279,04;2019-06-10;2021/01/20 07:42:50
2019;24;80060;1724379;Koko Suomi;viikko;36,8836075443417;2952901,62;61890180,66;2019-06-17;2021/01/20 07:42:50
2019;25;64758;1789137;Koko Suomi;viikko;37,2917097501467;2414936,54;64305117,20;2019-06-24;2021/01/20 07:42:50
2019;26;66980;1856117;Koko Suomi;viikko;36,3548928038220;2435050,72;66740167,92;2019-07-01;2021/01/20 07:42:50
2019;27;59524;1915641;Koko Suomi;viikko;35,6850099119683;2124114,53;68864282,45;2019-07-08;2021/01/20 07:42:50
2019;28;55761;1971402;Koko Suomi;viikko;36,0218737110167;2008615,70;70872898,15;2019-07-15;2021/01/20 07:42:50
2019;29;53293;2024695;Koko Suomi;viikko;36,0394123055561;1920648,40;72793546,55;2019-07-22;2021/01/20 07:42:50
2019;30;55036;2079731;Koko Suomi;viikko;37,0086356203212;2036807,27;74830353,82;2019-07-29;2021/01/20 07:42:50
2019;31;60761;2140492;Koko Suomi;viikko;36,6957380556607;2229669,74;77060023,56;2019-08-05;2021/01/20 07:42:50
2019;32;68432;2208924;Koko Suomi;viikko;36,6319252688801;2506795,91;79566819,47;2019-08-12;2021/01/20 07:42:50
2019;33;76857;2285781;Koko Suomi;viikko;36,0039419961747;2767154,97;82333974,44;2019-08-19;2021/01/20 07:42:50
2019;34;77554;2363335;Koko Suomi;viikko;36,2173134847977;2808797,53;85142771,97;2019-08-26;2021/01/20 07:42:50
2019;35;80036;2443371;Koko Suomi;viikko;35,9320759408266;2875859,63;88018631,60;2019-09-02;2021/01/20 07:42:50
2019;36;81563;2524934;Koko Suomi;viikko;35,8306738349497;2922457,25;90941088,85;2019-09-09;2021/01/20 07:42:50
2019;37;82252;2607186;Koko Suomi;viikko;35,8446520449351;2948294,32;93889383,17;2019-09-16;2021/01/20 07:42:50
