vuosi;viikko;matkojen_maara;matkojen_maara_kertyma;alue;aikatyyppi;pituus_keskiarvo;pituus_viikkosumma;pituus_viikkosumma_kertyma;asiakkaiden_maara;mk_valinen_osuus;paiva;updated
2019;1;1793;1793;Etelä-Karjala;viikko;32,0836307863915;57525,950;57525,950;851;3,5;2019-01-07;2021/06/14 06:40:14
2019;2;2070;3863;Etelä-Karjala;viikko;32,7929468599034;67881,400;125407,350;940;4,3;2019-01-14;2021/06/14 06:40:14
2019;3;2069;5932;Etelä-Karjala;viikko;32,7089173513775;67674,750;193082,100;937;4,1;2019-01-21;2021/06/14 06:40:14
2019;4;2161;8093;Etelä-Karjala;viikko;30,8989912077742;66772,720;259854,820;976;4,0;2019-01-28;2021/06/14 06:40:14
2019;5;2129;10222;Etelä-Karjala;viikko;34,3267872240489;73081,730;332936,550;965;4,6;2019-02-04;2021/06/14 06:40:14
2019;6;2261;12483;Etelä-Karjala;viikko;31,3014153029633;70772,500;403709,050;1014;4,1;2019-02-11;2021/06/14 06:40:14
2019;7;2233;14716;Etelä-Karjala;viikko;30,1452933273623;67314,440;471023,490;963;4,5;2019-02-18;2021/06/14 06:40:14
2019;8;2193;16909;Etelä-Karjala;viikko;27,6044414044688;60536,540;531560,030;977;3,5;2019-02-25;2021/06/14 06:40:14
2019;9;2027;18936;Etelä-Karjala;viikko;30,5827479033054;61991,230;593551,260;909;4,3;2019-03-04;2021/06/14 06:40:14
2019;10;2205;21141;Etelä-Karjala;viikko;29,7854829931973;65676,990;659228,250;968;3,9;2019-03-11;2021/06/14 06:40:14
2019;11;2318;23459;Etelä-Karjala;viikko;30,8707463330457;71558,390;730786,640;994;4,4;2019-03-18;2021/06/14 06:40:14
2019;12;2120;25579;Etelä-Karjala;viikko;29,3327688679245;62185,470;792972,110;950;4,3;2019-03-25;2021/06/14 06:40:14
2019;13;2112;27691;Etelä-Karjala;viikko;30,7291761363636;64900,020;857872,130;909;3,9;2019-04-01;2021/06/14 06:40:14
2019;14;2139;29830;Etelä-Karjala;viikko;31,9068256194483;68248,700;926120,830;912;5,0;2019-04-08;2021/06/14 06:40:14
2019;15;2178;32008;Etelä-Karjala;viikko;30,2863682277319;65963,710;992084,540;952;3,6;2019-04-15;2021/06/14 06:40:14
2019;16;1570;33578;Etelä-Karjala;viikko;28,6508280254777;44981,800;1037066,340;726;3,4;2019-04-22;2021/06/14 06:40:14
2019;17;2253;35831;Etelä-Karjala;viikko;30,9677585441633;69770,360;1106836,700;961;3,1;2019-04-29;2021/06/14 06:40:14
2019;18;1871;37702;Etelä-Karjala;viikko;31,7483591662213;59401,180;1166237,880;822;4,4;2019-05-06;2021/06/14 06:40:14
2019;19;2181;39883;Etelä-Karjala;viikko;29,9991242549289;65428,090;1231665,970;918;3,6;2019-05-13;2021/06/14 06:40:14
2019;20;2367;42250;Etelä-Karjala;viikko;33,1373975496409;78436,220;1310102,190;894;5,0;2019-05-20;2021/06/14 06:40:14
2019;21;2499;44749;Etelä-Karjala;viikko;32,1928531412565;80449,940;1390552,130;939;4,9;2019-05-27;2021/06/14 06:40:14
2019;22;2318;47067;Etelä-Karjala;viikko;31,8810051768766;73900,170;1464452,300;854;4,7;2019-06-03;2021/06/14 06:40:14
2019;23;2468;49535;Etelä-Karjala;viikko;33,9326418152350;83745,760;1548198,060;958;5,3;2019-06-10;2021/06/14 06:40:14
2019;24;2559;52094;Etelä-Karjala;viikko;32,6507307542009;83553,220;1631751,280;940;4,4;2019-06-17;2021/06/14 06:40:14
2019;25;2081;54175;Etelä-Karjala;viikko;35,3470398846708;73557,190;1705308,470;838;4,7;2019-06-24;2021/06/14 06:40:14
2019;26;2391;56566;Etelä-Karjala;viikko;36,0071643663739;86093,130;1791401,600;898;5,7;2019-07-01;2021/06/14 06:40:14
2019;27;2120;58686;Etelä-Karjala;viikko;33,0560188679245;70078,760;1861480,360;826;4,9;2019-07-08;2021/06/14 06:40:14
2019;28;2028;60714;Etelä-Karjala;viikko;30,2409270216963;61328,600;1922808,960;768;4,6;2019-07-15;2021/06/14 06:40:14
2019;29;1996;62710;Etelä-Karjala;viikko;30,4200200400802;60718,360;1983527,320;758;4,1;2019-07-22;2021/06/14 06:40:14
2019;30;1979;64689;Etelä-Karjala;viikko;31,2990955027792;61940,910;2045468,230;784;3,6;2019-07-29;2021/06/14 06:40:14
2019;31;2217;66906;Etelä-Karjala;viikko;29,0914253495715;64495,690;2109963,920;857;3,5;2019-08-05;2021/06/14 06:40:14
2019;32;2314;69220;Etelä-Karjala;viikko;30,4435436473639;70446,360;2180410,280;871;4,5;2019-08-12;2021/06/14 06:40:14
2019;33;2556;71776;Etelä-Karjala;viikko;35,0566979655712;89604,920;2270015,200;973;5,4;2019-08-19;2021/06/14 06:40:14
2019;34;2430;74206;Etelä-Karjala;viikko;33,9606255144033;82524,320;2352539,520;897;4,9;2019-08-26;2021/06/14 06:40:14
2019;35;2497;76703;Etelä-Karjala;viikko;35,1596075290348;87793,540;2440333,060;961;6,3;2019-09-02;2021/06/14 06:40:14
2019;36;2562;79265;Etelä-Karjala;viikko;34,2663739266198;87790,450;2528123,510;967;5,9;2019-09-09;2021/06/14 06:40:14
2019;37;2564;81829;Etelä-Karjala;viikko;33,2676365054602;85298,220;2613421,730;995;5,2;2019-09-16;2021/06/14 06:40:14
2019;38;2516;84345;Etelä-Karjala;viikko;32,0180206677266;80557,340;2693979,070;985;4,9;2019-09-23;2021/06/14 06:40:14
2019;39;2471;86816;Etelä-Karjala;viikko;37,4754957507082;92601,950;2786581,020;948;7,3;2019-09-30;2021/06/14 06:40:14
2019;40;2448;89264;Etelä-Karjala;viikko;34,5242606209150;84515,390;2871096,410;944;5,4;2019-10-07;2021/06/14 06:40:14
2019;41;2562;91826;Etelä-Karjala;viikko;33,3340202966432;85401,760;2956498,170;980;5,4;2019-10-14;2021/06/14 06:40:14
2019;42;2569;94395;Etelä-Karjala;viikko;34,3342000778513;88204,560;3044702,730;951;5,5;2019-10-21;2021/06/14 06:40:14
2019;43;2459;96854;Etelä-Karjala;viikko;36,1568889792599;88909,790;3133612,520;940;5,5;2019-10-28;2021/06/14 06:40:14
2019;44;2619;99473;Etelä-Karjala;viikko;34,0149866361207;89085,250;3222697,770;972;5,9;2019-11-04;2021/06/14 06:40:14
2019;45;2568;102041;Etelä-Karjala;viikko;34,1932087227414;87808,160;3310505,930;1007;5,3;2019-11-11;2021/06/14 06:40:14
2019;46;2394;104435;Etelä-Karjala;viikko;36,5244026733500;87439,420;3397945,350;919;6,5;2019-11-18;2021/06/14 06:40:14
2019;47;2485;106920;Etelä-Karjala;viikko;33,9049859154930;84253,890;3482199,240;939;4,9;2019-11-25;2021/06/14 06:40:14
2019;48;2780;109700;Etelä-Karjala;viikko;35,4274928057554;98488,430;3580687,670;1040;6,3;2019-12-02;2021/06/14 06:40:14
2019;49;2268;111968;Etelä-Karjala;viikko;35,0448368606702;79481,690;3660169,360;910;6,1;2019-12-09;2021/06/14 06:40:14
2019;50;2691;114659;Etelä-Karjala;viikko;35,4848680787811;95489,780;3755659,140;1044;4,8;2019-12-16;2021/06/14 06:40:14
2019;51;2461;117120;Etelä-Karjala;viikko;33,4890369768387;82416,520;3838075,660;954;5,2;2019-12-23;2021/06/14 06:40:14
2019;52;1259;118379;Etelä-Karjala;viikko;30,6970929308975;38647,640;3876723,300;516;3,3;2019-12-30;2021/06/14 06:40:14
2020;1;1621;1621;Etelä-Karjala;viikko;34,2953608883405;55592,780;55592,780;713;3,9;2020-01-06;2021/06/14 06:40:14
2020;2;2452;4073;Etelä-Karjala;viikko;37,8044494290375;92696,510;148289,290;1005;5,7;2020-01-13;2021/06/14 06:40:14
2020;3;2372;6445;Etelä-Karjala;viikko;38,6754553119730;91738,180;240027,470;975;5,6;2020-01-20;2021/06/14 06:40:14
2020;4;2361;8806;Etelä-Karjala;viikko;37,3832698009318;88261,900;328289,370;978;6,1;2020-01-27;2021/06/14 06:40:14
2020;5;2432;11238;Etelä-Karjala;viikko;36,9358223684211;89827,920;418117,290;985;5,8;2020-02-03;2021/06/14 06:40:14
2020;6;2480;13718;Etelä-Karjala;viikko;37,6308387096774;93324,480;511441,770;997;6,1;2020-02-10;2021/06/14 06:40:14
2020;7;2589;16307;Etelä-Karjala;viikko;33,7589107763615;87401,820;598843,590;1037;4,7;2020-02-17;2021/06/14 06:40:14
2020;8;2256;18563;Etelä-Karjala;viikko;34,7288430851064;78348,270;677191,860;916;4,8;2020-02-24;2021/06/14 06:40:14
2020;9;2279;20842;Etelä-Karjala;viikko;37,2585958753839;84912,340;762104,200;884;5,6;2020-03-02;2021/06/14 06:40:14
2020;10;2353;23195;Etelä-Karjala;viikko;37,2491372715682;87647,220;849751,420;932;6,2;2020-03-09;2021/06/14 06:40:14
2020;11;2325;25520;Etelä-Karjala;viikko;38,3168731182796;89086,730;938838,150;902;5,6;2020-03-16;2021/06/14 06:40:14
2020;12;1491;27011;Etelä-Karjala;viikko;39,3360563380282;58650,060;997488,210;611;6,5;2020-03-23;2021/06/14 06:40:14
2020;13;1349;28360;Etelä-Karjala;viikko;34,4622016308377;46489,510;1043977,720;537;4,2;2020-03-30;2021/06/14 06:40:14
2020;14;1516;29876;Etelä-Karjala;viikko;36,8310554089710;55835,880;1099813,600;592;6,0;2020-04-06;2021/06/14 06:40:14
2020;15;1190;31066;Etelä-Karjala;viikko;35,1086302521008;41779,270;1141592,870;492;4,9;2020-04-13;2021/06/14 06:40:14
2020;16;1583;32649;Etelä-Karjala;viikko;41,7236765634870;66048,580;1207641,450;644;7,2;2020-04-20;2021/06/14 06:40:14
2020;17;1569;34218;Etelä-Karjala;viikko;41,8915742511154;65727,880;1273369,330;624;6,4;2020-04-27;2021/06/14 06:40:14
2020;18;1575;35793;Etelä-Karjala;viikko;39,0313142857143;61474,320;1334843,650;658;6,7;2020-05-04;2021/06/14 06:40:14
2020;19;1785;37578;Etelä-Karjala;viikko;36,5952212885154;65322,470;1400166,120;716;4,7;2020-05-11;2021/06/14 06:40:14
2020;20;1845;39423;Etelä-Karjala;viikko;40,0125474254743;73823,150;1473989,270;753;6,7;2020-05-18;2021/06/14 06:40:14
2020;21;1592;41015;Etelä-Karjala;viikko;36,5472864321608;58183,280;1532172,550;658;4,3;2020-05-25;2021/06/14 06:40:14
2020;22;1867;42882;Etelä-Karjala;viikko;39,0968612747724;72993,840;1605166,390;767;6,4;2020-06-01;2021/06/14 06:40:14
2020;23;2082;44964;Etelä-Karjala;viikko;33,7718251681076;70312,940;1675479,330;825;4,9;2020-06-08;2021/06/14 06:40:14
2020;24;2107;47071;Etelä-Karjala;viikko;36,9680493592786;77891,680;1753371,010;830;5,6;2020-06-15;2021/06/14 06:40:14
2020;25;1884;48955;Etelä-Karjala;viikko;37,0248142250531;69754,750;1823125,760;782;5,6;2020-06-22;2021/06/14 06:40:14
2020;26;2026;50981;Etelä-Karjala;viikko;33,6060809476802;68085,920;1891211,680;827;4,5;2020-06-29;2021/06/14 06:40:14
2020;27;1979;52960;Etelä-Karjala;viikko;33,3090348660940;65918,580;1957130,260;767;5,1;2020-07-06;2021/06/14 06:40:14
2020;28;1953;54913;Etelä-Karjala;viikko;31,6903072196621;61891,170;2019021,430;795;4,1;2020-07-13;2021/06/14 06:40:14
2020;29;1837;56750;Etelä-Karjala;viikko;31,6393467610234;58121,480;2077142,910;742;4,6;2020-07-20;2021/06/14 06:40:14
2020;30;1843;58593;Etelä-Karjala;viikko;31,6123819858926;58261,620;2135404,530;754;4,7;2020-07-27;2021/06/14 06:40:14
