vuosi;viikko;matkojen_maara;matkojen_maara_kertyma;alue;aikatyyppi;pituus_keskiarvo;pituus_viikkosumma;pituus_viikkosumma_kertyma;asiakkaiden_maara;paiva;updated
2021;1;1647;1647;Etelä-Karjala;viikko;34,7293624772313;57199,260;57199,260;785;2021-01-04;2021/03/02 07:38:21
2021;2;2607;4254;Etelä-Karjala;viikko;34,7590794016110;90616,920;147816,180;1099;2021-01-11;2021/03/02 07:38:21
2021;3;2517;6771;Etelä-Karjala;viikko;40,0611164084227;100833,830;248650,010;1040;2021-01-18;2021/03/02 07:38:21
2020;1;1621;1621;Etelä-Karjala;viikko;34,2953608883405;55592,780;55592,780;713;2020-01-06;2021/03/02 07:38:21
2020;2;2452;4073;Etelä-Karjala;viikko;37,8044494290375;92696,510;148289,290;1005;2020-01-13;2021/03/02 07:38:21
2020;3;2372;6445;Etelä-Karjala;viikko;38,6754553119730;91738,180;240027,470;975;2020-01-20;2021/03/02 07:38:21
2020;4;2361;8806;Etelä-Karjala;viikko;37,3832698009318;88261,900;328289,370;978;2020-01-27;2021/03/02 07:38:21
2020;5;2432;11238;Etelä-Karjala;viikko;36,9358223684211;89827,920;418117,290;985;2020-02-03;2021/03/02 07:38:21
2020;6;2480;13718;Etelä-Karjala;viikko;37,6308387096774;93324,480;511441,770;997;2020-02-10;2021/03/02 07:38:21
2020;7;2589;16307;Etelä-Karjala;viikko;33,7589107763615;87401,820;598843,590;1037;2020-02-17;2021/03/02 07:38:21
2020;8;2256;18563;Etelä-Karjala;viikko;34,7288430851064;78348,270;677191,860;916;2020-02-24;2021/03/02 07:38:21
2020;9;2279;20842;Etelä-Karjala;viikko;37,2585958753839;84912,340;762104,200;884;2020-03-02;2021/03/02 07:38:21
2020;10;2353;23195;Etelä-Karjala;viikko;37,2491372715682;87647,220;849751,420;932;2020-03-09;2021/03/02 07:38:21
2020;11;2325;25520;Etelä-Karjala;viikko;38,3168731182796;89086,730;938838,150;902;2020-03-16;2021/03/02 07:38:21
2020;12;1491;27011;Etelä-Karjala;viikko;39,3360563380282;58650,060;997488,210;611;2020-03-23;2021/03/02 07:38:21
2020;13;1349;28360;Etelä-Karjala;viikko;34,4622016308377;46489,510;1043977,720;537;2020-03-30;2021/03/02 07:38:21
2020;14;1516;29876;Etelä-Karjala;viikko;36,8310554089710;55835,880;1099813,600;592;2020-04-06;2021/03/02 07:38:21
2020;15;1190;31066;Etelä-Karjala;viikko;35,1086302521008;41779,270;1141592,870;492;2020-04-13;2021/03/02 07:38:21
2020;16;1583;32649;Etelä-Karjala;viikko;41,7236765634870;66048,580;1207641,450;644;2020-04-20;2021/03/02 07:38:21
2020;17;1569;34218;Etelä-Karjala;viikko;41,8915742511154;65727,880;1273369,330;624;2020-04-27;2021/03/02 07:38:21
2020;18;1575;35793;Etelä-Karjala;viikko;39,0313142857143;61474,320;1334843,650;658;2020-05-04;2021/03/02 07:38:21
2020;19;1785;37578;Etelä-Karjala;viikko;36,5952212885154;65322,470;1400166,120;716;2020-05-11;2021/03/02 07:38:21
2020;20;1845;39423;Etelä-Karjala;viikko;40,0125474254743;73823,150;1473989,270;753;2020-05-18;2021/03/02 07:38:21
2020;21;1592;41015;Etelä-Karjala;viikko;36,5472864321608;58183,280;1532172,550;658;2020-05-25;2021/03/02 07:38:21
2020;22;1867;42882;Etelä-Karjala;viikko;39,0968612747724;72993,840;1605166,390;767;2020-06-01;2021/03/02 07:38:21
2020;23;2082;44964;Etelä-Karjala;viikko;33,7718251681076;70312,940;1675479,330;825;2020-06-08;2021/03/02 07:38:21
2020;24;2107;47071;Etelä-Karjala;viikko;36,9680493592786;77891,680;1753371,010;830;2020-06-15;2021/03/02 07:38:21
2020;25;1884;48955;Etelä-Karjala;viikko;37,0248142250531;69754,750;1823125,760;782;2020-06-22;2021/03/02 07:38:21
2020;26;2026;50981;Etelä-Karjala;viikko;33,6060809476802;68085,920;1891211,680;827;2020-06-29;2021/03/02 07:38:21
2020;27;1979;52960;Etelä-Karjala;viikko;33,3090348660940;65918,580;1957130,260;767;2020-07-06;2021/03/02 07:38:21
2020;28;1953;54913;Etelä-Karjala;viikko;31,6903072196621;61891,170;2019021,430;795;2020-07-13;2021/03/02 07:38:21
2020;29;1837;56750;Etelä-Karjala;viikko;31,6393467610234;58121,480;2077142,910;742;2020-07-20;2021/03/02 07:38:21
2020;30;1843;58593;Etelä-Karjala;viikko;31,6123819858926;58261,620;2135404,530;754;2020-07-27;2021/03/02 07:38:21
2020;31;1928;60521;Etelä-Karjala;viikko;32,7816026970954;63202,930;2198607,460;763;2020-08-03;2021/03/02 07:38:21
2020;32;2163;62684;Etelä-Karjala;viikko;37,0862135922330;80217,480;2278824,940;892;2020-08-10;2021/03/02 07:38:21
2020;33;2313;64997;Etelä-Karjala;viikko;32,9007047124946;76099,330;2354924,270;881;2020-08-17;2021/03/02 07:38:21
2020;34;2257;67254;Etelä-Karjala;viikko;33,6475808595481;75942,590;2430866,860;915;2020-08-24;2021/03/02 07:38:21
2020;35;2275;69529;Etelä-Karjala;viikko;34,5820351648352;78674,130;2509540,990;907;2020-08-31;2021/03/02 07:38:21
2020;36;2449;71978;Etelä-Karjala;viikko;30,7689424254798;75353,140;2584894,130;968;2020-09-07;2021/03/02 07:38:21
2020;37;2522;74500;Etelä-Karjala;viikko;34,0942109436955;85985,600;2670879,730;995;2020-09-14;2021/03/02 07:38:21
2020;38;2627;77127;Etelä-Karjala;viikko;34,4330224590788;90455,550;2761335,280;1009;2020-09-21;2021/03/02 07:38:21
2020;39;2490;79617;Etelä-Karjala;viikko;35,5261164658635;88460,030;2849795,310;924;2020-09-28;2021/03/02 07:38:21
2020;40;2535;82152;Etelä-Karjala;viikko;32,7521301775148;83026,650;2932821,960;1034;2020-10-05;2021/03/02 07:38:21
2020;41;2533;84685;Etelä-Karjala;viikko;34,4632293722858;87295,360;3020117,320;999;2020-10-12;2021/03/02 07:38:21
2020;42;2508;87193;Etelä-Karjala;viikko;36,1157216905901;90578,230;3110695,550;968;2020-10-19;2021/03/02 07:38:21
2020;43;2490;89683;Etelä-Karjala;viikko;35,3472891566265;88014,750;3198710,300;983;2020-10-26;2021/03/02 07:38:21
2020;44;2601;92284;Etelä-Karjala;viikko;36,0517993079585;93770,730;3292481,030;1050;2020-11-02;2021/03/02 07:38:21
2020;45;2488;94772;Etelä-Karjala;viikko;30,4112781350482;75663,260;3368144,290;978;2020-11-09;2021/03/02 07:38:21
2020;46;2613;97385;Etelä-Karjala;viikko;36,1940413318025;94575,030;3462719,320;1039;2020-11-16;2021/03/02 07:38:21
2020;47;2570;99955;Etelä-Karjala;viikko;32,4555136186770;83410,670;3546129,990;1038;2020-11-23;2021/03/02 07:38:21
2020;48;2542;102497;Etelä-Karjala;viikko;33,3215578284815;84703,400;3630833,390;1009;2020-11-30;2021/03/02 07:38:21
2020;49;2611;105108;Etelä-Karjala;viikko;33,8591650708541;88406,280;3719239,670;1059;2020-12-07;2021/03/02 07:38:21
2020;50;2721;107829;Etelä-Karjala;viikko;40,4766923925028;110137,080;3829376,750;1065;2020-12-14;2021/03/02 07:38:21
2020;51;2495;110324;Etelä-Karjala;viikko;33,0786372745491;82531,200;3911907,950;989;2020-12-21;2021/03/02 07:38:21
2020;52;1573;111897;Etelä-Karjala;viikko;32,0568340750159;50425,400;3962333,350;653;2020-12-28;2021/03/02 07:38:21
2019;1;1793;1793;Etelä-Karjala;viikko;32,0836307863915;57525,950;57525,950;851;2019-01-07;2021/03/02 07:38:21
2019;2;2070;3863;Etelä-Karjala;viikko;32,7929468599034;67881,400;125407,350;940;2019-01-14;2021/03/02 07:38:21
