vuosi;viikko;matkojen_maara;matkojen_maara_kertyma;alue;aikatyyppi;pituus_keskiarvo;pituus_viikkosumma;pituus_viikkosumma_kertyma;asiakkaiden_maara;mk_valinen_osuus;paiva;updated
2019;1;51832;51832;Koko Suomi;viikko;36,6683052940269;1900591,600;1900591,600;23618;5,6;2019-01-07;2021/07/12 06:40:27
2019;2;70141;121973;Koko Suomi;viikko;36,9429233971572;2591213,590;4491805,190;30327;5,6;2019-01-14;2021/07/12 06:40:27
2019;3;72826;194799;Koko Suomi;viikko;36,6828421168264;2671464,660;7163269,850;31137;5,8;2019-01-21;2021/07/12 06:40:27
2019;4;72362;267161;Koko Suomi;viikko;36,4568165611785;2638088,160;9801358,010;30884;6,0;2019-01-28;2021/07/12 06:40:27
2019;5;73435;340596;Koko Suomi;viikko;36,7658533396882;2699900,440;12501258,450;31089;6,1;2019-02-04;2021/07/12 06:40:27
2019;6;74172;414768;Koko Suomi;viikko;35,9654249582053;2667627,500;15168885,950;31301;6,0;2019-02-11;2021/07/12 06:40:27
2019;7;73400;488168;Koko Suomi;viikko;36,2821777929155;2663111,850;17831997,800;31155;5,9;2019-02-18;2021/07/12 06:40:27
2019;8;69645;557813;Koko Suomi;viikko;36,1025980328810;2514365,440;20346363,240;29527;5,9;2019-02-25;2021/07/12 06:40:27
2019;9;69163;626976;Koko Suomi;viikko;36,1061093359166;2497206,840;22843570,080;29120;5,7;2019-03-04;2021/07/12 06:40:27
2019;10;71835;698811;Koko Suomi;viikko;34,9889304656504;2513429,820;25356999,900;29996;5,5;2019-03-11;2021/07/12 06:40:27
2019;11;73641;772452;Koko Suomi;viikko;35,5831361605627;2620377,730;27977377,630;30631;5,7;2019-03-18;2021/07/12 06:40:27
2019;12;72878;845330;Koko Suomi;viikko;35,7562998435742;2605847,620;30583225,250;30026;5,8;2019-03-25;2021/07/12 06:40:27
2019;13;72444;917774;Koko Suomi;viikko;35,7249918557783;2588061,310;33171286,560;29914;5,8;2019-04-01;2021/07/12 06:40:27
2019;14;72232;990006;Koko Suomi;viikko;36,0330199911397;2602737,100;35774023,660;29977;5,7;2019-04-08;2021/07/12 06:40:27
2019;15;73850;1063856;Koko Suomi;viikko;35,5755260663507;2627252,600;38401276,260;30102;5,7;2019-04-15;2021/07/12 06:40:27
2019;16;50736;1114592;Koko Suomi;viikko;34,7519727609587;1763176,090;40164452,350;22481;5,6;2019-04-22;2021/07/12 06:40:27
2019;17;74243;1188835;Koko Suomi;viikko;35,4503510095228;2631940,410;42796392,760;29817;6,3;2019-04-29;2021/07/12 06:40:27
2019;18;63703;1252538;Koko Suomi;viikko;35,8483399525925;2283646,800;45080039,560;26809;6,4;2019-05-06;2021/07/12 06:40:27
2019;19;74889;1327427;Koko Suomi;viikko;35,5479306707260;2662148,980;47742188,540;30543;6,2;2019-05-13;2021/07/12 06:40:27
2019;20;80151;1407578;Koko Suomi;viikko;35,6922949183416;2860773,130;50602961,670;30607;6,3;2019-05-20;2021/07/12 06:40:27
2019;21;84858;1492436;Koko Suomi;viikko;35,1593502085838;2983552,140;53586513,810;30548;6,3;2019-05-27;2021/07/12 06:40:27
2019;22;69692;1562128;Koko Suomi;viikko;35,0595147219193;2443367,700;56029881,510;25959;6,3;2019-06-03;2021/07/12 06:40:27
2019;23;82193;1644321;Koko Suomi;viikko;35,3735893567579;2907461,430;58937342,940;29895;6,3;2019-06-10;2021/07/12 06:40:27
2019;24;80061;1724382;Koko Suomi;viikko;36,8834803462360;2952928,320;61890271,260;29509;6,3;2019-06-17;2021/07/12 06:40:27
2019;25;64758;1789140;Koko Suomi;viikko;37,2917097501467;2414936,540;64305207,800;25419;6,4;2019-06-24;2021/07/12 06:40:27
2019;26;66981;1856121;Koko Suomi;viikko;36,3565760439528;2435199,820;66740407,620;25285;6,1;2019-07-01;2021/07/12 06:40:27
2019;27;59525;1915646;Koko Suomi;viikko;35,6845732045359;2124124,220;68864531,840;22976;5,9;2019-07-08;2021/07/12 06:40:27
2019;28;55763;1971409;Koko Suomi;viikko;36,0209301866829;2008635,130;70873166,970;21530;6,0;2019-07-15;2021/07/12 06:40:27
2019;29;53294;2024703;Koko Suomi;viikko;36,0392182984951;1920674,100;72793841,070;20579;6,1;2019-07-22;2021/07/12 06:40:27
2019;30;55036;2079739;Koko Suomi;viikko;37,0086356203212;2036807,270;74830648,340;21262;6,1;2019-07-29;2021/07/12 06:40:27
2019;31;60761;2140500;Koko Suomi;viikko;36,6957380556607;2229669,740;77060318,080;23355;6,1;2019-08-05;2021/07/12 06:40:27
2019;32;68432;2208932;Koko Suomi;viikko;36,6319252688801;2506795,910;79567113,990;26022;6,1;2019-08-12;2021/07/12 06:40:27
2019;33;76860;2285792;Koko Suomi;viikko;36,0033225344783;2767215,370;82334329,360;28977;5,8;2019-08-19;2021/07/12 06:40:27
2019;34;77554;2363346;Koko Suomi;viikko;36,2173134847977;2808797,530;85143126,890;29216;5,6;2019-08-26;2021/07/12 06:40:27
2019;35;80036;2443382;Koko Suomi;viikko;35,9320759408266;2875859,630;88018986,520;30105;6,0;2019-09-02;2021/07/12 06:40:27
2019;36;81564;2524946;Koko Suomi;viikko;35,8302575891325;2922459,130;90941445,650;30419;5,9;2019-09-09;2021/07/12 06:40:27
2019;37;82252;2607198;Koko Suomi;viikko;35,8446520449351;2948294,320;93889739,970;30890;6,1;2019-09-16;2021/07/12 06:40:27
2019;38;82823;2690021;Koko Suomi;viikko;35,9238267148014;2975319,100;96865059,070;30886;5,8;2019-09-23;2021/07/12 06:40:27
2019;39;82463;2772484;Koko Suomi;viikko;35,8976599202066;2960228,730;99825287,800;30718;6,0;2019-09-30;2021/07/12 06:40:27
2019;40;82735;2855219;Koko Suomi;viikko;35,4741578533873;2934954,450;102760242,250;31322;6,1;2019-10-07;2021/07/12 06:40:27
2019;41;82307;2937526;Koko Suomi;viikko;36,0410502144411;2966430,720;105726672,970;31012;6,1;2019-10-14;2021/07/12 06:40:27
2019;42;77245;3014771;Koko Suomi;viikko;35,1382063563985;2714250,750;108440923,720;28976;5,9;2019-10-21;2021/07/12 06:40:27
2019;43;82266;3097037;Koko Suomi;viikko;35,8489587435879;2949150,440;111390074,160;30782;5,9;2019-10-28;2021/07/12 06:40:27
2019;44;85334;3182371;Koko Suomi;viikko;36,1848219935782;3087795,600;114477869,760;31883;6,2;2019-11-04;2021/07/12 06:40:27
2019;45;86487;3268858;Koko Suomi;viikko;36,1361343323274;3125305,850;117603175,610;32148;6,3;2019-11-11;2021/07/12 06:40:27
2019;46;86565;3355423;Koko Suomi;viikko;35,5153350661353;3074384,980;120677560,590;31834;6,2;2019-11-18;2021/07/12 06:40:27
2019;47;86771;3442194;Koko Suomi;viikko;35,8968189833009;3114802,880;123792363,470;32236;6,1;2019-11-25;2021/07/12 06:40:27
