viikko;2019;2020;2021
1;51832;46805;49272
2;70141;78759;77618
3;72826;78325;79448
4;72362;77963;79922
5;73435;78414;80509
6;74171;79002;80980
7;73400;77962;81553
8;69645;75474;79179
9;69163;74638;75030
10;71835;77646;
11;73641;69577;
12;72878;43959;
13;72444;42349;
14;72232;43081;
15;73850;33045;
16;50736;45294;
17;74243;46045;
18;63703;43455;
19;74889;52452;
20;80151;56127;
21;84858;49324;
22;69692;60891;
23;82193;65078;
24;80061;67568;
25;64758;57223;
26;66980;62878;
27;59524;58209;
28;55761;54969;
29;53294;53953;
30;55036;54215;
31;60761;57700;
32;68432;65856;
33;76860;72047;
34;77554;75020;
35;80036;75479;
36;81563;78536;
37;82252;79804;
38;82820;80182;
39;82461;81390;
40;82732;80938;
41;82296;77852;
42;77245;76378;
43;82264;81520;
44;85331;81009;
45;86485;81710;
46;86561;82373;
47;86767;83516;
48;88946;81843;
49;78430;83106;
50;89347;82855;
51;79270;77130;
52;33276;42578;
