"viikko";"vuosi";"puhelinpalvelun_jonotusajan_keskiarvo_min"
"1";"2019";"6,4"
"2";"2019";"7,7"
"3";"2019";"6,9"
"4";"2019";"7,1"
"5";"2019";"7,9"
"6";"2019";"8,2"
"7";"2019";"10,4"
"8";"2019";"9,0"
"9";"2019";"11,2"
"10";"2019";"10,6"
"11";"2019";"8,2"
"12";"2019";"6,6"
"13";"2019";"7,2"
"14";"2019";"6,7"
"15";"2019";"5,5"
"16";"2019";"7,5"
"17";"2019";"8,3"
"18";"2019";"8,9"
"19";"2019";"7,5"
"20";"2019";"5,4"
"21";"2019";"3,8"
"22";"2019";"7,5"
"23";"2019";"7,8"
"24";"2019";"8,2"
"25";"2019";"8,2"
"26";"2019";"11,7"
"27";"2019";"9,6"
"28";"2019";"10,2"
"29";"2019";"8,6"
"30";"2019";"6,3"
"31";"2019";"9,8"
"32";"2019";"12,2"
"33";"2019";"10,7"
"34";"2019";"8,1"
"35";"2019";"8,0"
"36";"2019";"8,0"
"37";"2019";"6,0"
"38";"2019";"5,1"
"39";"2019";"8,6"
"40";"2019";"9,1"
"41";"2019";"8,4"
"42";"2019";"9,4"
"43";"2019";"7,5"
"44";"2019";"9,1"
"45";"2019";"9,5"
"46";"2019";"9,7"
"47";"2019";"6,9"
"48";"2019";"7,4"
"49";"2019";"11,4"
"50";"2019";"11,2"
"51";"2019";"11,4"
"52";"2019";"7,8"
"1";"2020";"11,1"
"2";"2020";"11,9"
"3";"2020";"11,0"
"4";"2020";"10,4"
"5";"2020";"10,8"
"6";"2020";"12,1"
"7";"2020";"10,6"
"8";"2020";"11,5"
"9";"2020";"13,2"
"10";"2020";"14,3"
"11";"2020";"11,4"
"12";"2020";"9,3"
"13";"2020";"5,5"
"14";"2020";"2,7"
"15";"2020";"1,1"
"16";"2020";"5,2"
"17";"2020";"1,4"
"18";"2020";"3,4"
"19";"2020";"3,6"
"20";"2020";"1,9"
"21";"2020";"3,3"
"22";"2020";"2,0"
"23";"2020";"1,5"
"24";"2020";"0,8"
"25";"2020";"1,0"
"26";"2020";"1,5"
"27";"2020";"1,7"
"28";"2020";"2,0"
"29";"2020";"1,4"
"30";"2020";"1,1"
"31";"2020";"1,4"
"32";"2020";"2,1"
"33";"2020";"1,9"
"34";"2020";"1,8"
"35";"2020";"1,6"
"36";"2020";"2,5"
"37";"2020";"0,7"
"38";"2020";"0,7"
"39";"2020";"0,8"
"40";"2020";"4,2"
"41";"2020";"3,8"
"42";"2020";"6,0"
"43";"2020";"3,1"
"44";"2020";"4,1"
"45";"2020";"4,1"
"46";"2020";"2,8"
"47";"2020";"4,5"
"48";"2020";"5,2"
"49";"2020";"6,2"
"50";"2020";"5,7"
"51";"2020";"7,1"
"52";"2020";"2,9"
"53";"2020";"3,3"
"1";"2021";"5,3"
"2";"2021";"3,2"
"3";"2021";"7,1"
"4";"2021";"9,5"
"5";"2021";"10,2"
"6";"2021";"9,3"
"7";"2021";"10,4"
"8";"2021";"8,9"
"9";"2021";"11,5"
"10";"2021";"10,1"
"11";"2021";"11,6"
"12";"2021";"11,0"
"13";"2021";"12,6"
"14";"2021";"8,4"
"15";"2021";"11,8"
"16";"2021";"10,4"
"17";"2021";"12,2"
"18";"2021";"9,9"
"19";"2021";"10,2"
"20";"2021";"9,6"
"21";"2021";"10,8"
"22";"2021";"10,2"
"23";"2021";"9,2"
"24";"2021";"10,5"
"25";"2021";"7,9"
"26";"2021";"10,4"
"27";"2021";"11,7"
"28";"2021";"8,8"
"29";"2021";"8,7"
"30";"2021";"11,9"
"31";"2021";"9,8"
"32";"2021";"12,4"
"33";"2021";"12,5"
"34";"2021";"12,4"
"35";"2021";"12,6"
"36";"2021";"9,6"
"37";"2021";"8,7"
"38";"2021";"9,1"
"39";"2021";"11,0"
"40";"2021";"11,5"
"41";"2021";"11,4"
"42";"2021";"13,2"
"43";"2021";"14,3"
"44";"2021";"13,4"
"45";"2021";"13,4"
"46";"2021";"13,0"
"47";"2021";"11,9"
"48";"2021";"12,4"
"49";"2021";"14,4"
"50";"2021";"13,7"
"51";"2021";"8,2"
"52";"2021";"4,7"
"1";"2022";"2,8"
"2";"2022";"3,0"
"3";"2022";"8,6"
"4";"2022";"10,3"
"5";"2022";"9,8"
"6";"2022";"10,6"
"7";"2022";"10,9"
"8";"2022";"10,1"
"9";"2022";"10,5"
"10";"2022";"12,0"
"11";"2022";"11,8"
"12";"2022";"11,1"
"13";"2022";"11,1"
"14";"2022";"9,9"
"15";"2022";"10,2"
"16";"2022";"12,8"
"17";"2022";"11,7"
"18";"2022";"9,4"
"19";"2022";"8,0"
"20";"2022";"8,0"
"21";"2022";"8,8"
"22";"2022";"10,0"
"23";"2022";"9,4"
"24";"2022";"8,6"
"25";"2022";"7,5"
"26";"2022";"10,9"
"27";"2022";"11,0"
"28";"2022";"9,0"
"29";"2022";"6,3"
"30";"2022";"9,1"
"31";"2022";"9,4"
"32";"2022";"8,0"
"33";"2022";"3,8"
"34";"2022";"6,0"
"35";"2022";"6,9"
"36";"2022";"9,7"
"37";"2022";"8,3"
"38";"2022";"7,9"
"39";"2022";"10,9"
"40";"2022";"10,5"
"41";"2022";"10,1"
"42";"2022";"12,0"
"43";"2022";"11,5"
"44";"2022";"10,1"
"45";"2022";"9,5"
"46";"2022";"10,3"
"47";"2022";"10,2"
"48";"2022";"11,0"
"49";"2022";"12,3"
"50";"2022";"11,6"
"51";"2022";"6,5"
"52";"2022";"6,6"
"1";"2023";"2,6"
"2";"2023";"4,0"
"3";"2023";"5,6"
"4";"2023";"7,9"
"5";"2023";"8,2"
"6";"2023";"8,4"
"7";"2023";"10,0"
"8";"2023";"8,0"
"9";"2023";"11,5"
"10";"2023";"10,1"
"11";"2023";"10,3"
"12";"2023";"7,4"
"13";"2023";"9,6"
"14";"2023";"10,4"
"15";"2023";"12,5"
"16";"2023";"9,3"
"17";"2023";"11,7"
"18";"2023";"11,7"
"19";"2023";"5,5"
"20";"2023";"8,7"
"21";"2023";"8,2"
"22";"2023";"8,2"
"23";"2023";"5,0"
"24";"2023";"3,3"
"25";"2023";"3,7"
"26";"2023";"6,4"
"27";"2023";"5,4"
"28";"2023";"2,0"
"29";"2023";"1,8"
"30";"2023";"2,2"
"31";"2023";"4,1"
"32";"2023";"3,2"
"33";"2023";"1,7"
"34";"2023";"1,3"
"35";"2023";"2,6"
"36";"2023";"5,0"
"37";"2023";"3,6"
"38";"2023";"3,3"
"39";"2023";"3,7"
"40";"2023";"6,8"
"41";"2023";"5,2"
"42";"2023";"8,1"
"43";"2023";"4,0"
"44";"2023";"8,7"
"45";"2023";"6,0"
"46";"2023";"8,2"
"47";"2023";"7,4"
