"etuus";"vuosi";"kuukausi";"paiva";"variable";"val"
"Yleinen asumistuki";"2019";"1";"2019-01-01";"uudet saajaruokakunnat";"5498"
"Yleinen asumistuki";"2019";"1";"2019-01-01";"aiemmin tukea 
saaneet ruokakunnat";"367735"
"Yleinen asumistuki";"2019";"2";"2019-02-01";"uudet saajaruokakunnat";"8313"
"Yleinen asumistuki";"2019";"2";"2019-02-01";"aiemmin tukea 
saaneet ruokakunnat";"367760"
"Yleinen asumistuki";"2019";"3";"2019-03-01";"uudet saajaruokakunnat";"6853"
"Yleinen asumistuki";"2019";"3";"2019-03-01";"aiemmin tukea 
saaneet ruokakunnat";"367785"
"Yleinen asumistuki";"2019";"4";"2019-04-01";"uudet saajaruokakunnat";"6889"
"Yleinen asumistuki";"2019";"4";"2019-04-01";"aiemmin tukea 
saaneet ruokakunnat";"367465"
"Yleinen asumistuki";"2019";"5";"2019-05-01";"uudet saajaruokakunnat";"6510"
"Yleinen asumistuki";"2019";"5";"2019-05-01";"aiemmin tukea 
saaneet ruokakunnat";"365208"
"Yleinen asumistuki";"2019";"6";"2019-06-01";"uudet saajaruokakunnat";"6113"
"Yleinen asumistuki";"2019";"6";"2019-06-01";"aiemmin tukea 
saaneet ruokakunnat";"357432"
"Yleinen asumistuki";"2019";"7";"2019-07-01";"uudet saajaruokakunnat";"5159"
"Yleinen asumistuki";"2019";"7";"2019-07-01";"aiemmin tukea 
saaneet ruokakunnat";"347103"
"Yleinen asumistuki";"2019";"8";"2019-08-01";"uudet saajaruokakunnat";"8102"
"Yleinen asumistuki";"2019";"8";"2019-08-01";"aiemmin tukea 
saaneet ruokakunnat";"339452"
"Yleinen asumistuki";"2019";"9";"2019-09-01";"uudet saajaruokakunnat";"14352"
"Yleinen asumistuki";"2019";"9";"2019-09-01";"aiemmin tukea 
saaneet ruokakunnat";"337920"
"Yleinen asumistuki";"2019";"10";"2019-10-01";"uudet saajaruokakunnat";"13862"
"Yleinen asumistuki";"2019";"10";"2019-10-01";"aiemmin tukea 
saaneet ruokakunnat";"349195"
"Yleinen asumistuki";"2019";"11";"2019-11-01";"uudet saajaruokakunnat";"10641"
"Yleinen asumistuki";"2019";"11";"2019-11-01";"aiemmin tukea 
saaneet ruokakunnat";"361574"
"Yleinen asumistuki";"2019";"12";"2019-12-01";"uudet saajaruokakunnat";"8045"
"Yleinen asumistuki";"2019";"12";"2019-12-01";"aiemmin tukea 
saaneet ruokakunnat";"371622"
"Yleinen asumistuki";"2020";"1";"2020-01-01";"uudet saajaruokakunnat";"6440"
"Yleinen asumistuki";"2020";"1";"2020-01-01";"aiemmin tukea 
saaneet ruokakunnat";"367979"
"Yleinen asumistuki";"2020";"2";"2020-02-01";"uudet saajaruokakunnat";"7631"
"Yleinen asumistuki";"2020";"2";"2020-02-01";"aiemmin tukea 
saaneet ruokakunnat";"367582"
"Yleinen asumistuki";"2020";"3";"2020-03-01";"uudet saajaruokakunnat";"7594"
