"etuus";"vuosi";"kuukausi";"paiva";"saajat_kaikki"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"58918"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"50111"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"55721"
"Sairauspäiväraha";"2019";"4";"2019-04-01";"56596"
"Sairauspäiväraha";"2019";"5";"2019-05-01";"60827"
"Sairauspäiväraha";"2019";"6";"2019-06-01";"50127"
"Sairauspäiväraha";"2019";"7";"2019-07-01";"48457"
"Sairauspäiväraha";"2019";"8";"2019-08-01";"58728"
"Sairauspäiväraha";"2019";"9";"2019-09-01";"53633"
"Sairauspäiväraha";"2019";"10";"2019-10-01";"57800"
"Sairauspäiväraha";"2019";"11";"2019-11-01";"56748"
"Sairauspäiväraha";"2019";"12";"2019-12-01";"55146"
"Sairauspäiväraha";"2020";"1";"2020-01-01";"58070"
"Sairauspäiväraha";"2020";"2";"2020-02-01";"47443"
"Sairauspäiväraha";"2020";"3";"2020-03-01";"54255"
"Sairauspäiväraha";"2020";"4";"2020-04-01";"65098"
"Sairauspäiväraha";"2020";"5";"2020-05-01";"57542"
"Sairauspäiväraha";"2020";"6";"2020-06-01";"55490"
"Sairauspäiväraha";"2020";"7";"2020-07-01";"49680"
"Sairauspäiväraha";"2020";"8";"2020-08-01";"49865"
"Sairauspäiväraha";"2020";"9";"2020-09-01";"50158"
"Sairauspäiväraha";"2020";"10";"2020-10-01";"50077"
"Sairauspäiväraha";"2020";"11";"2020-11-01";"52150"
"Sairauspäiväraha";"2020";"12";"2020-12-01";"56560"
"Sairauspäiväraha";"2021";"1";"2021-01-01";"51747"
"Sairauspäiväraha";"2021";"2";"2021-02-01";"47681"
"Sairauspäiväraha";"2021";"3";"2021-03-01";"53348"
"Sairauspäiväraha";"2021";"4";"2021-04-01";"49562"
"Sairauspäiväraha";"2021";"5";"2021-05-01";"55375"
"Sairauspäiväraha";"2021";"6";"2021-06-01";"54435"
"Sairauspäiväraha";"2021";"7";"2021-07-01";"51105"
"Sairauspäiväraha";"2021";"8";"2021-08-01";"56876"
"Sairauspäiväraha";"2021";"9";"2021-09-01";"53145"
"Sairauspäiväraha";"2021";"10";"2021-10-01";"53288"
"Sairauspäiväraha";"2021";"11";"2021-11-01";"54698"
"Sairauspäiväraha";"2021";"12";"2021-12-01";"58973"
"Sairauspäiväraha";"2022";"1";"2022-01-01";"57216"
"Sairauspäiväraha";"2022";"2";"2022-02-01";"50760"
"Sairauspäiväraha";"2022";"3";"2022-03-01";"56476"
"Sairauspäiväraha";"2022";"4";"2022-04-01";"49856"
"Sairauspäiväraha";"2022";"5";"2022-05-01";"59323"
"Sairauspäiväraha";"2022";"6";"2022-06-01";"54786"
"Sairauspäiväraha";"2022";"7";"2022-07-01";"46940"
"Sairauspäiväraha";"2022";"8";"2022-08-01";"58534"
"Sairauspäiväraha";"2022";"9";"2022-09-01";"56166"
"Sairauspäiväraha";"2022";"10";"2022-10-01";"55065"
"Sairauspäiväraha";"2022";"11";"2022-11-01";"59333"
"Sairauspäiväraha";"2022";"12";"2022-12-01";"57143"
"Sairauspäiväraha";"2023";"1";"2023-01-01";"57476"
"Sairauspäiväraha";"2023";"2";"2023-02-01";"56889"
"Sairauspäiväraha";"2023";"3";"2023-03-01";"64453"
"Sairauspäiväraha";"2023";"4";"2023-04-01";"50857"
"Sairauspäiväraha";"2023";"5";"2023-05-01";"59911"
"Sairauspäiväraha";"2023";"6";"2023-06-01";"59210"
"Sairauspäiväraha";"2023";"7";"2023-07-01";"50949"
"Sairauspäiväraha";"2023";"8";"2023-08-01";"60420"
"Sairauspäiväraha";"2023";"9";"2023-09-01";"55329"
"Sairauspäiväraha";"2023";"10";"2023-10-01";"57167"
"Tartuntatautipäiväraha";"2019";"1";"2019-01-01";"13"
"Tartuntatautipäiväraha";"2019";"2";"2019-02-01";"12"
"Tartuntatautipäiväraha";"2019";"3";"2019-03-01";"12"
"Tartuntatautipäiväraha";"2019";"4";"2019-04-01";"14"
"Tartuntatautipäiväraha";"2019";"5";"2019-05-01";"15"
"Tartuntatautipäiväraha";"2019";"6";"2019-06-01";"19"
"Tartuntatautipäiväraha";"2019";"7";"2019-07-01";"9"
"Tartuntatautipäiväraha";"2019";"8";"2019-08-01";"11"
"Tartuntatautipäiväraha";"2019";"9";"2019-09-01";"9"
"Tartuntatautipäiväraha";"2019";"10";"2019-10-01";"11"
"Tartuntatautipäiväraha";"2019";"11";"2019-11-01";"13"
"Tartuntatautipäiväraha";"2019";"12";"2019-12-01";"13"
"Tartuntatautipäiväraha";"2020";"1";"2020-01-01";"12"
"Tartuntatautipäiväraha";"2020";"2";"2020-02-01";"7"
"Tartuntatautipäiväraha";"2020";"3";"2020-03-01";"65"
"Tartuntatautipäiväraha";"2020";"4";"2020-04-01";"604"
"Tartuntatautipäiväraha";"2020";"5";"2020-05-01";"1964"
"Tartuntatautipäiväraha";"2020";"6";"2020-06-01";"3713"
"Tartuntatautipäiväraha";"2020";"7";"2020-07-01";"3218"
"Tartuntatautipäiväraha";"2020";"8";"2020-08-01";"1062"
"Tartuntatautipäiväraha";"2020";"9";"2020-09-01";"1659"
"Tartuntatautipäiväraha";"2020";"10";"2020-10-01";"3019"
"Tartuntatautipäiväraha";"2020";"11";"2020-11-01";"4629"
"Tartuntatautipäiväraha";"2020";"12";"2020-12-01";"8404"
"Tartuntatautipäiväraha";"2021";"1";"2021-01-01";"9574"
"Tartuntatautipäiväraha";"2021";"2";"2021-02-01";"11842"
"Tartuntatautipäiväraha";"2021";"3";"2021-03-01";"16654"
"Tartuntatautipäiväraha";"2021";"4";"2021-04-01";"14094"
"Tartuntatautipäiväraha";"2021";"5";"2021-05-01";"15761"
"Tartuntatautipäiväraha";"2021";"6";"2021-06-01";"12399"
"Tartuntatautipäiväraha";"2021";"7";"2021-07-01";"6601"
"Tartuntatautipäiväraha";"2021";"8";"2021-08-01";"5493"
"Tartuntatautipäiväraha";"2021";"9";"2021-09-01";"13147"
"Tartuntatautipäiväraha";"2021";"10";"2021-10-01";"10576"
"Tartuntatautipäiväraha";"2021";"11";"2021-11-01";"10461"
"Tartuntatautipäiväraha";"2021";"12";"2021-12-01";"10984"
"Tartuntatautipäiväraha";"2022";"1";"2022-01-01";"16578"
"Tartuntatautipäiväraha";"2022";"2";"2022-02-01";"29208"
"Tartuntatautipäiväraha";"2022";"3";"2022-03-01";"42747"
"Tartuntatautipäiväraha";"2022";"4";"2022-04-01";"35998"
"Tartuntatautipäiväraha";"2022";"5";"2022-05-01";"44259"
"Tartuntatautipäiväraha";"2022";"6";"2022-06-01";"66766"
"Tartuntatautipäiväraha";"2022";"7";"2022-07-01";"48027"
"Tartuntatautipäiväraha";"2022";"8";"2022-08-01";"42617"
"Tartuntatautipäiväraha";"2022";"9";"2022-09-01";"27815"
"Tartuntatautipäiväraha";"2022";"10";"2022-10-01";"16418"
"Tartuntatautipäiväraha";"2022";"11";"2022-11-01";"20108"
"Tartuntatautipäiväraha";"2022";"12";"2022-12-01";"22831"
"Tartuntatautipäiväraha";"2023";"1";"2023-01-01";"33540"
"Tartuntatautipäiväraha";"2023";"2";"2023-02-01";"25986"
"Tartuntatautipäiväraha";"2023";"3";"2023-03-01";"11059"
"Tartuntatautipäiväraha";"2023";"4";"2023-04-01";"1947"
"Tartuntatautipäiväraha";"2023";"5";"2023-05-01";"944"
"Tartuntatautipäiväraha";"2023";"6";"2023-06-01";"338"
"Tartuntatautipäiväraha";"2023";"7";"2023-07-01";"128"
"Tartuntatautipäiväraha";"2023";"8";"2023-08-01";"82"
"Tartuntatautipäiväraha";"2023";"9";"2023-09-01";"52"
"Tartuntatautipäiväraha";"2023";"10";"2023-10-01";"27"
"Epidemiatuki";"2019";"1";"2019-01-01";"0"
"Epidemiatuki";"2019";"2";"2019-02-01";"0"
"Epidemiatuki";"2019";"3";"2019-03-01";"0"
"Epidemiatuki";"2019";"4";"2019-04-01";"0"
"Epidemiatuki";"2019";"5";"2019-05-01";"0"
"Epidemiatuki";"2019";"6";"2019-06-01";"0"
"Epidemiatuki";"2019";"7";"2019-07-01";"0"
"Epidemiatuki";"2019";"8";"2019-08-01";"0"
"Epidemiatuki";"2019";"9";"2019-09-01";"0"
"Epidemiatuki";"2019";"10";"2019-10-01";"0"
"Epidemiatuki";"2019";"11";"2019-11-01";"0"
"Epidemiatuki";"2019";"12";"2019-12-01";"0"
"Epidemiatuki";"2020";"1";"2020-01-01";"0"
"Epidemiatuki";"2020";"2";"2020-02-01";"0"
"Epidemiatuki";"2020";"3";"2020-03-01";"0"
"Epidemiatuki";"2020";"4";"2020-04-01";"0"
"Epidemiatuki";"2020";"5";"2020-05-01";"1913"
"Epidemiatuki";"2020";"6";"2020-06-01";"694"
"Epidemiatuki";"2020";"7";"2020-07-01";"242"
"Epidemiatuki";"2020";"8";"2020-08-01";"70"
"Epidemiatuki";"2020";"9";"2020-09-01";"30"
"Epidemiatuki";"2020";"10";"2020-10-01";"9"
"Epidemiatuki";"2020";"11";"2020-11-01";"2"
"Epidemiatuki";"2020";"12";"2020-12-01";"1"
"Epidemiatuki";"2021";"1";"2021-01-01";"0"
"Epidemiatuki";"2021";"2";"2021-02-01";"0"
"Epidemiatuki";"2021";"3";"2021-03-01";"1"
"Epidemiatuki";"2021";"4";"2021-04-01";"0"
"Epidemiatuki";"2021";"5";"2021-05-01";"0"
"Epidemiatuki";"2021";"6";"2021-06-01";"0"
"Epidemiatuki";"2021";"7";"2021-07-01";"0"
"Epidemiatuki";"2021";"8";"2021-08-01";"0"
