"alue";"etuus";"vuosi";"kuukausi";"paiva";"variable";"val";"type"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"240";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"186";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"3694";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"2584";"Saajakotitaloudet"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"272";"Saajat"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"209";"Saajakotitaloudet"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"4022";"Saajat"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"2749";"Saajakotitaloudet"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"261";"Saajat"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"212";"Saajakotitaloudet"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"3856";"Saajat"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"2719";"Saajakotitaloudet"
"Kainuu";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"150";"Saajat"
"Kainuu";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"97";"Saajakotitaloudet"
"Kainuu";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"1635";"Saajat"
"Kainuu";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"1180";"Saajakotitaloudet"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"321";"Saajat"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"235";"Saajakotitaloudet"
