"etuus";"vuosi";"kuukausi";"paiva";"ikaluokka";"sukupuoli";"saajat_kaikki"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"18-24";"kaikki";"3842"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"25-34";"kaikki";"9377"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"35-44";"kaikki";"11772"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"45-54";"kaikki";"15389"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"yli 54";"kaikki";"18420"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"18-24";"miehet";"1641"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"25-34";"miehet";"3743"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"35-44";"miehet";"4708"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"45-54";"miehet";"6368"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"yli 54";"miehet";"8142"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"18-24";"naiset";"2201"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"25-34";"naiset";"5634"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"35-44";"naiset";"7064"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"45-54";"naiset";"9021"
"Sairauspäiväraha";"2019";"1";"2019-01-01";"yli 54";"naiset";"10278"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"18-24";"kaikki";"3596"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"25-34";"kaikki";"7847"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"35-44";"kaikki";"9641"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"45-54";"kaikki";"12908"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"yli 54";"kaikki";"16000"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"18-24";"miehet";"1515"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"25-34";"miehet";"3223"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"35-44";"miehet";"3859"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"45-54";"miehet";"5458"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"yli 54";"miehet";"7159"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"18-24";"naiset";"2081"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"25-34";"naiset";"4624"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"35-44";"naiset";"5782"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"45-54";"naiset";"7450"
"Sairauspäiväraha";"2019";"2";"2019-02-01";"yli 54";"naiset";"8841"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"18-24";"kaikki";"4164"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"25-34";"kaikki";"8824"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"35-44";"kaikki";"10697"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"45-54";"kaikki";"14323"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"yli 54";"kaikki";"17568"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"18-24";"miehet";"1747"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"25-34";"miehet";"3638"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"35-44";"miehet";"4368"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"45-54";"miehet";"6016"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"yli 54";"miehet";"7839"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"18-24";"naiset";"2417"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"25-34";"naiset";"5186"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"35-44";"naiset";"6329"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"45-54";"naiset";"8307"
"Sairauspäiväraha";"2019";"3";"2019-03-01";"yli 54";"naiset";"9729"
