"etuus";"vuosi";"kuukausi";"paiva";"alue";"variable";"val"
"Työttömyysturva";"2019";"1";"2019-01-01";"Etelä-Karjala";"aiemmin tukea saaneet";"5377"
"Työttömyysturva";"2019";"1";"2019-01-01";"Etelä-Pohjanmaa";"aiemmin tukea saaneet";"4935"
"Työttömyysturva";"2019";"1";"2019-01-01";"Etelä-Savo";"aiemmin tukea saaneet";"5345"
"Työttömyysturva";"2019";"1";"2019-01-01";"Kainuu";"aiemmin tukea saaneet";"2637"
"Työttömyysturva";"2019";"1";"2019-01-01";"Kanta-Häme";"aiemmin tukea saaneet";"6226"
"Työttömyysturva";"2019";"1";"2019-01-01";"Keski-Pohjanmaa";"aiemmin tukea saaneet";"2030"
"Työttömyysturva";"2019";"1";"2019-01-01";"Keski-Suomi";"aiemmin tukea saaneet";"11985"
"Työttömyysturva";"2019";"1";"2019-01-01";"Kymenlaakso";"aiemmin tukea saaneet";"7877"
"Työttömyysturva";"2019";"1";"2019-01-01";"Lappi";"aiemmin tukea saaneet";"5717"
"Työttömyysturva";"2019";"1";"2019-01-01";"Pirkanmaa";"aiemmin tukea saaneet";"21333"
"Työttömyysturva";"2019";"1";"2019-01-01";"Pohjanmaa";"aiemmin tukea saaneet";"5096"
"Työttömyysturva";"2019";"1";"2019-01-01";"Pohjois-Karjala";"aiemmin tukea saaneet";"8401"
"Työttömyysturva";"2019";"1";"2019-01-01";"Pohjois-Pohjanmaa";"aiemmin tukea saaneet";"15991"
"Työttömyysturva";"2019";"1";"2019-01-01";"Pohjois-Savo";"aiemmin tukea saaneet";"8783"
"Työttömyysturva";"2019";"1";"2019-01-01";"Päijät-Häme";"aiemmin tukea saaneet";"9125"
"Työttömyysturva";"2019";"1";"2019-01-01";"Satakunta";"aiemmin tukea saaneet";"7400"
"Työttömyysturva";"2019";"1";"2019-01-01";"Uusimaa";"aiemmin tukea saaneet";"63601"
"Työttömyysturva";"2019";"1";"2019-01-01";"Varsinais-Suomi";"aiemmin tukea saaneet";"17138"
"Työttömyysturva";"2019";"1";"2019-01-01";"Etelä-Karjala";"uudet saajat";"186"
