"etuus";"vuosi";"kuukausi";"ikaluokka";"sukupuoli";"paiva";"variable";"val"
"Työttömyysturva";"2019";"1";"18-24";"kaikki";"2019-01-01";"aiemmin tukea saaneet";"25329"
"Työttömyysturva";"2019";"1";"25-34";"kaikki";"2019-01-01";"aiemmin tukea saaneet";"55734"
"Työttömyysturva";"2019";"1";"35-44";"kaikki";"2019-01-01";"aiemmin tukea saaneet";"47697"
"Työttömyysturva";"2019";"1";"45-54";"kaikki";"2019-01-01";"aiemmin tukea saaneet";"44739"
"Työttömyysturva";"2019";"1";"yli 54";"kaikki";"2019-01-01";"aiemmin tukea saaneet";"35328"
"Työttömyysturva";"2019";"1";"18-24";"miehet";"2019-01-01";"aiemmin tukea saaneet";"14367"
"Työttömyysturva";"2019";"1";"25-34";"miehet";"2019-01-01";"aiemmin tukea saaneet";"29162"
"Työttömyysturva";"2019";"1";"35-44";"miehet";"2019-01-01";"aiemmin tukea saaneet";"23412"
"Työttömyysturva";"2019";"1";"45-54";"miehet";"2019-01-01";"aiemmin tukea saaneet";"23267"
"Työttömyysturva";"2019";"1";"yli 54";"miehet";"2019-01-01";"aiemmin tukea saaneet";"18861"
"Työttömyysturva";"2019";"1";"18-24";"naiset";"2019-01-01";"aiemmin tukea saaneet";"10962"
"Työttömyysturva";"2019";"1";"25-34";"naiset";"2019-01-01";"aiemmin tukea saaneet";"26572"
"Työttömyysturva";"2019";"1";"35-44";"naiset";"2019-01-01";"aiemmin tukea saaneet";"24285"
"Työttömyysturva";"2019";"1";"45-54";"naiset";"2019-01-01";"aiemmin tukea saaneet";"21472"
"Työttömyysturva";"2019";"1";"yli 54";"naiset";"2019-01-01";"aiemmin tukea saaneet";"16467"
"Työttömyysturva";"2019";"1";"18-24";"kaikki";"2019-01-01";"uudet saajat";"2382"
"Työttömyysturva";"2019";"1";"25-34";"kaikki";"2019-01-01";"uudet saajat";"2393"
"Työttömyysturva";"2019";"1";"35-44";"kaikki";"2019-01-01";"uudet saajat";"1357"
"Työttömyysturva";"2019";"1";"45-54";"kaikki";"2019-01-01";"uudet saajat";"1081"
"Työttömyysturva";"2019";"1";"yli 54";"kaikki";"2019-01-01";"uudet saajat";"821"
"Työttömyysturva";"2019";"1";"18-24";"miehet";"2019-01-01";"uudet saajat";"1289"
"Työttömyysturva";"2019";"1";"25-34";"miehet";"2019-01-01";"uudet saajat";"1086"
"Työttömyysturva";"2019";"1";"35-44";"miehet";"2019-01-01";"uudet saajat";"588"
"Työttömyysturva";"2019";"1";"45-54";"miehet";"2019-01-01";"uudet saajat";"514"
"Työttömyysturva";"2019";"1";"yli 54";"miehet";"2019-01-01";"uudet saajat";"414"
"Työttömyysturva";"2019";"1";"18-24";"naiset";"2019-01-01";"uudet saajat";"1093"
"Työttömyysturva";"2019";"1";"25-34";"naiset";"2019-01-01";"uudet saajat";"1307"
"Työttömyysturva";"2019";"1";"35-44";"naiset";"2019-01-01";"uudet saajat";"769"
"Työttömyysturva";"2019";"1";"45-54";"naiset";"2019-01-01";"uudet saajat";"567"
"Työttömyysturva";"2019";"1";"yli 54";"naiset";"2019-01-01";"uudet saajat";"407"
"Työttömyysturva";"2019";"2";"18-24";"kaikki";"2019-02-01";"aiemmin tukea saaneet";"24055"
"Työttömyysturva";"2019";"2";"25-34";"kaikki";"2019-02-01";"aiemmin tukea saaneet";"53942"
"Työttömyysturva";"2019";"2";"35-44";"kaikki";"2019-02-01";"aiemmin tukea saaneet";"46287"
"Työttömyysturva";"2019";"2";"45-54";"kaikki";"2019-02-01";"aiemmin tukea saaneet";"43593"
"Työttömyysturva";"2019";"2";"yli 54";"kaikki";"2019-02-01";"aiemmin tukea saaneet";"34728"
"Työttömyysturva";"2019";"2";"18-24";"miehet";"2019-02-01";"aiemmin tukea saaneet";"13444"
"Työttömyysturva";"2019";"2";"25-34";"miehet";"2019-02-01";"aiemmin tukea saaneet";"28240"
"Työttömyysturva";"2019";"2";"35-44";"miehet";"2019-02-01";"aiemmin tukea saaneet";"22849"
"Työttömyysturva";"2019";"2";"45-54";"miehet";"2019-02-01";"aiemmin tukea saaneet";"22733"
"Työttömyysturva";"2019";"2";"yli 54";"miehet";"2019-02-01";"aiemmin tukea saaneet";"18619"
"Työttömyysturva";"2019";"2";"18-24";"naiset";"2019-02-01";"aiemmin tukea saaneet";"10611"
"Työttömyysturva";"2019";"2";"25-34";"naiset";"2019-02-01";"aiemmin tukea saaneet";"25702"
"Työttömyysturva";"2019";"2";"35-44";"naiset";"2019-02-01";"aiemmin tukea saaneet";"23438"
"Työttömyysturva";"2019";"2";"45-54";"naiset";"2019-02-01";"aiemmin tukea saaneet";"20860"
"Työttömyysturva";"2019";"2";"yli 54";"naiset";"2019-02-01";"aiemmin tukea saaneet";"16109"
