"etuus";"vuosi";"aikatyyppi";"viikko";"paiva";"viikonpaiva";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2020";"paiva";"1";"2020-01-01";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1155";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"1";"2020-01-02";"torstai";"Koko Suomi";"kaikki";"kaikki";"2473";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"1";"2020-01-03";"perjantai";"Koko Suomi";"kaikki";"kaikki";"2251";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"1";"2020-01-04";"lauantai";"Koko Suomi";"kaikki";"kaikki";"25";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"1";"2020-01-05";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"202";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-04";"maanantai";"Koko Suomi";"kaikki";"kaikki";"2138";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-05";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1574";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-06";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"633";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-07";"torstai";"Koko Suomi";"kaikki";"kaikki";"1552";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-08";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1366";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-09";"lauantai";"Koko Suomi";"kaikki";"kaikki";"261";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"1";"2021-01-10";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"517";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-03";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1586";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-04";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1392";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-05";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1629";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-06";"torstai";"Koko Suomi";"kaikki";"kaikki";"408";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-07";"perjantai";"Koko Suomi";"kaikki";"kaikki";"939";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-08";"lauantai";"Koko Suomi";"kaikki";"kaikki";"409";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"1";"2022-01-09";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"566";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-02";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1594";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-03";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1678";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-04";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1681";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-05";"torstai";"Koko Suomi";"kaikki";"kaikki";"1472";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-06";"perjantai";"Koko Suomi";"kaikki";"kaikki";"320";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-07";"lauantai";"Koko Suomi";"kaikki";"kaikki";"528";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"1";"2023-01-08";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"643";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-06";"maanantai";"Koko Suomi";"kaikki";"kaikki";"830";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-07";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1921";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-08";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1770";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-09";"torstai";"Koko Suomi";"kaikki";"kaikki";"1540";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-10";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1137";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-11";"lauantai";"Koko Suomi";"kaikki";"kaikki";"256";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"2";"2020-01-12";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"500";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-11";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1808";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-12";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1705";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-13";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1586";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-14";"torstai";"Koko Suomi";"kaikki";"kaikki";"1497";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-15";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1291";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-16";"lauantai";"Koko Suomi";"kaikki";"kaikki";"234";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"2";"2021-01-17";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"430";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-10";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1697";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-11";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1358";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-12";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1284";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-13";"torstai";"Koko Suomi";"kaikki";"kaikki";"1002";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-14";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1055";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-15";"lauantai";"Koko Suomi";"kaikki";"kaikki";"299";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"2";"2022-01-16";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"503";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-09";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1660";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-10";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1222";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-11";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1319";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-12";"torstai";"Koko Suomi";"kaikki";"kaikki";"1140";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-13";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1128";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-14";"lauantai";"Koko Suomi";"kaikki";"kaikki";"246";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-15";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"381";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-13";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1715";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-14";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1556";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-15";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1571";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-16";"torstai";"Koko Suomi";"kaikki";"kaikki";"1414";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-17";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1268";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-18";"lauantai";"Koko Suomi";"kaikki";"kaikki";"332";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-19";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"407";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-18";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1669";"2023/11/20 12:10:23"
