"etuus";"vuosi";"aikatyyppi";"viikko";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"18-24";"kaikki";"1810";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"25-34";"kaikki";"1810";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"35-44";"kaikki";"1335";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"45-54";"kaikki";"1229";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"yli 54";"kaikki";"830";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"18-24";"kaikki";"3006";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"25-34";"kaikki";"3006";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"35-44";"kaikki";"2193";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"45-54";"kaikki";"1891";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"yli 54";"kaikki";"1288";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"18-24";"kaikki";"2432";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"25-34";"kaikki";"2432";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"35-44";"kaikki";"1386";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"45-54";"kaikki";"1021";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"yli 54";"kaikki";"719";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"18-24";"kaikki";"2047";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"25-34";"kaikki";"2047";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"35-44";"kaikki";"1283";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"45-54";"kaikki";"976";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"yli 54";"kaikki";"749";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"18-24";"kaikki";"2173";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"25-34";"kaikki";"2173";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"35-44";"kaikki";"1677";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"45-54";"kaikki";"1261";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"yli 54";"kaikki";"1026";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"18-24";"miehet";"892";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"25-34";"miehet";"892";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"35-44";"miehet";"673";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"45-54";"miehet";"605";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"yli 54";"miehet";"390";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"18-24";"miehet";"1492";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"25-34";"miehet";"1492";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"35-44";"miehet";"1002";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"45-54";"miehet";"897";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"yli 54";"miehet";"568";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"18-24";"miehet";"1271";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"25-34";"miehet";"1271";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"35-44";"miehet";"671";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"45-54";"miehet";"486";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"yli 54";"miehet";"355";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"18-24";"miehet";"1041";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"25-34";"miehet";"1041";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"35-44";"miehet";"595";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"45-54";"miehet";"503";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"yli 54";"miehet";"354";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"18-24";"miehet";"1058";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"25-34";"miehet";"1058";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"35-44";"miehet";"788";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"45-54";"miehet";"576";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"yli 54";"miehet";"500";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"18-24";"naiset";"918";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"25-34";"naiset";"918";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"35-44";"naiset";"662";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"45-54";"naiset";"624";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"yli 54";"naiset";"440";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"18-24";"naiset";"1514";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"25-34";"naiset";"1514";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"35-44";"naiset";"1191";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"45-54";"naiset";"994";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"yli 54";"naiset";"720";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"18-24";"naiset";"1161";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"25-34";"naiset";"1161";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"35-44";"naiset";"715";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"45-54";"naiset";"535";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"yli 54";"naiset";"364";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"18-24";"naiset";"1006";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"25-34";"naiset";"1006";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"35-44";"naiset";"688";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"45-54";"naiset";"473";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"yli 54";"naiset";"395";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"18-24";"naiset";"1115";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"25-34";"naiset";"1115";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"35-44";"naiset";"889";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"45-54";"naiset";"685";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"1";"Koko Suomi";"yli 54";"naiset";"526";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"18-24";"kaikki";"2558";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"25-34";"kaikki";"2558";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"35-44";"kaikki";"1647";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"45-54";"kaikki";"1396";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"yli 54";"kaikki";"1061";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"18-24";"kaikki";"2382";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"25-34";"kaikki";"2382";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"35-44";"kaikki";"1457";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"45-54";"kaikki";"1143";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"yli 54";"kaikki";"792";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"18-24";"kaikki";"2608";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"25-34";"kaikki";"2608";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"35-44";"kaikki";"1633";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"45-54";"kaikki";"1159";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"yli 54";"kaikki";"873";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"18-24";"kaikki";"2230";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"25-34";"kaikki";"2230";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"35-44";"kaikki";"1345";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"45-54";"kaikki";"1007";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"yli 54";"kaikki";"771";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"18-24";"kaikki";"2160";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"25-34";"kaikki";"2160";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"35-44";"kaikki";"1467";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"45-54";"kaikki";"1039";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"yli 54";"kaikki";"822";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"18-24";"miehet";"1242";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"25-34";"miehet";"1242";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"35-44";"miehet";"776";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"45-54";"miehet";"646";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"yli 54";"miehet";"530";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"18-24";"miehet";"1214";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"25-34";"miehet";"1214";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"35-44";"miehet";"692";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"45-54";"miehet";"573";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"yli 54";"miehet";"394";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"18-24";"miehet";"1344";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"25-34";"miehet";"1344";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"35-44";"miehet";"771";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"45-54";"miehet";"549";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"yli 54";"miehet";"420";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"18-24";"miehet";"1153";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"25-34";"miehet";"1153";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"35-44";"miehet";"619";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"45-54";"miehet";"535";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"yli 54";"miehet";"405";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"18-24";"miehet";"1088";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"25-34";"miehet";"1088";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"35-44";"miehet";"677";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"45-54";"miehet";"504";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"yli 54";"miehet";"415";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1316";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1316";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"35-44";"naiset";"871";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"45-54";"naiset";"750";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"531";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1168";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1168";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"35-44";"naiset";"765";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"45-54";"naiset";"570";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"398";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1264";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1264";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"35-44";"naiset";"862";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"45-54";"naiset";"610";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"453";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1077";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1077";"2023/12/19 12:10:43"
