"toimenpideluokka";"alue";"korvatut_testit_lkm";"viikko";"vuosi";"aikatyyppi";"updated";"paiva"
"Antigeenitutkimus";"Koko Suomi";"179";"1";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-04"
"Antigeenitutkimus";"Koko Suomi";"466";"1";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-03"
"Antigeenitutkimus";"Koko Suomi";"193";"1";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-02"
"Antigeenitutkimus";"Koko Suomi";"228";"2";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-11"
"Antigeenitutkimus";"Koko Suomi";"976";"2";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-10"
"Antigeenitutkimus";"Koko Suomi";"336";"2";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-09"
"Antigeenitutkimus";"Koko Suomi";"155";"3";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-18"
"Antigeenitutkimus";"Koko Suomi";"630";"3";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-17"
"Antigeenitutkimus";"Koko Suomi";"185";"3";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-16"
"Antigeenitutkimus";"Koko Suomi";"397";"4";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-25"
"Antigeenitutkimus";"Koko Suomi";"734";"4";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-24"
"Antigeenitutkimus";"Koko Suomi";"688";"4";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-23"
"Antigeenitutkimus";"Koko Suomi";"234";"5";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-01"
"Antigeenitutkimus";"Koko Suomi";"1186";"5";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-31"
"Antigeenitutkimus";"Koko Suomi";"84";"5";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-30"
"Antigeenitutkimus";"Koko Suomi";"157";"6";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-08"
"Antigeenitutkimus";"Koko Suomi";"873";"6";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-07"
"Antigeenitutkimus";"Koko Suomi";"103";"6";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-06"
"Antigeenitutkimus";"Koko Suomi";"212";"7";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-15"
"Antigeenitutkimus";"Koko Suomi";"202";"7";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-14"
"Antigeenitutkimus";"Koko Suomi";"602";"7";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-13"
"Antigeenitutkimus";"Koko Suomi";"160";"8";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-22"
"Antigeenitutkimus";"Koko Suomi";"478";"8";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-21"
"Antigeenitutkimus";"Koko Suomi";"47";"8";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-20"
"Antigeenitutkimus";"Koko Suomi";"111";"9";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-01"
"Antigeenitutkimus";"Koko Suomi";"429";"9";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-28"
"Antigeenitutkimus";"Koko Suomi";"44";"9";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-27"
"Antigeenitutkimus";"Koko Suomi";"187";"10";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-08"
"Antigeenitutkimus";"Koko Suomi";"107";"10";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-07"
"Antigeenitutkimus";"Koko Suomi";"59";"10";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-06"
"Antigeenitutkimus";"Koko Suomi";"143";"11";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-15"
"Antigeenitutkimus";"Koko Suomi";"314";"11";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-14"
"Antigeenitutkimus";"Koko Suomi";"233";"11";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-13"
"Antigeenitutkimus";"Koko Suomi";"206";"12";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-22"
"Antigeenitutkimus";"Koko Suomi";"171";"12";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-21"
"Antigeenitutkimus";"Koko Suomi";"152";"12";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-20"
"Antigeenitutkimus";"Koko Suomi";"139";"13";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-29"
"Antigeenitutkimus";"Koko Suomi";"201";"13";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-28"
"Antigeenitutkimus";"Koko Suomi";"259";"13";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-27"
"Antigeenitutkimus";"Koko Suomi";"246";"14";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-05"
"Antigeenitutkimus";"Koko Suomi";"446";"14";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-04"
"Antigeenitutkimus";"Koko Suomi";"34";"14";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-03"
"Antigeenitutkimus";"Koko Suomi";"239";"15";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-12"
"Antigeenitutkimus";"Koko Suomi";"50";"15";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-11"
"Antigeenitutkimus";"Koko Suomi";"73";"15";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-10"
"Antigeenitutkimus";"Koko Suomi";"220";"16";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-19"
"Antigeenitutkimus";"Koko Suomi";"54";"16";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-18"
"Antigeenitutkimus";"Koko Suomi";"66";"16";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-17"
"Antigeenitutkimus";"Koko Suomi";"138";"17";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-26"
"Antigeenitutkimus";"Koko Suomi";"76";"17";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-25"
"Antigeenitutkimus";"Koko Suomi";"178";"17";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-24"
"Antigeenitutkimus";"Koko Suomi";"128";"18";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-03"
"Antigeenitutkimus";"Koko Suomi";"135";"18";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-02"
"Antigeenitutkimus";"Koko Suomi";"55";"18";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-01"
"Antigeenitutkimus";"Koko Suomi";"197";"19";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-10"
"Antigeenitutkimus";"Koko Suomi";"394";"19";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-09"
"Antigeenitutkimus";"Koko Suomi";"48";"19";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-08"
"Antigeenitutkimus";"Koko Suomi";"210";"20";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-17"
"Antigeenitutkimus";"Koko Suomi";"199";"20";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-16"
"Antigeenitutkimus";"Koko Suomi";"17";"20";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-15"
"Antigeenitutkimus";"Koko Suomi";"220";"21";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-24"
"Antigeenitutkimus";"Koko Suomi";"117";"21";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-23"
"Antigeenitutkimus";"Koko Suomi";"136";"21";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-22"
"Antigeenitutkimus";"Koko Suomi";"187";"22";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-31"
