"toimenpideluokka";"alue";"korvatut_testit_lkm";"viikko";"vuosi";"aikatyyppi";"updated";"paiva"
"Antigeenitutkimus";"Etelä-Pohjanmaa";"3";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Etelä-Savo";"1";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Kanta-Häme";"6";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Keski-Suomi";"7";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Lappi";"11";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Pirkanmaa";"20";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Pohjanmaa";"1";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Pohjois-Karjala";"1";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Pohjois-Pohjanmaa";"14";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Pohjois-Savo";"10";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Päijät-Häme";"3";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Satakunta";"8";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Uusimaa";"54";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Varsinais-Suomi";"38";"1";"2021";"viikko";"2023/12/19 12:11:28";"2021-01-04"
"Antigeenitutkimus";"Etelä-Karjala";"4";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Etelä-Pohjanmaa";"10";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Etelä-Savo";"1";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Kanta-Häme";"13";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Keski-Suomi";"17";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Lappi";"4";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Pirkanmaa";"95";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Pohjanmaa";"2";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Pohjois-Pohjanmaa";"20";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Pohjois-Savo";"5";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Päijät-Häme";"8";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Satakunta";"5";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Uusimaa";"212";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Varsinais-Suomi";"68";"1";"2022";"viikko";"2023/12/19 12:11:28";"2022-01-03"
"Antigeenitutkimus";"Etelä-Karjala";"3";"1";"2023";"viikko";"2023/12/19 12:11:28";"2023-01-02"
"Antigeenitutkimus";"Kanta-Häme";"1";"1";"2023";"viikko";"2023/12/19 12:11:28";"2023-01-02"
"Antigeenitutkimus";"Keski-Suomi";"2";"1";"2023";"viikko";"2023/12/19 12:11:28";"2023-01-02"
"Antigeenitutkimus";"Lappi";"2";"1";"2023";"viikko";"2023/12/19 12:11:28";"2023-01-02"
"Antigeenitutkimus";"Pirkanmaa";"9";"1";"2023";"viikko";"2023/12/19 12:11:28";"2023-01-02"
"Antigeenitutkimus";"Pohjois-Pohjanmaa";"91";"1";"2023";"viikko";"2023/12/19 12:11:28";"2023-01-02"
