"alue";"aikaisempi";"myohempi";"muutos (%)"
"Etelä-Karjala";"48";"61";"27,1"
"Etelä-Pohjanmaa";"245";"329";"34,3"
"Etelä-Savo";"127";"135";"6,3"
"Kainuu";"34";"37";"8,8"
"Kanta-Häme";"170";"188";"10,6"
"Keski-Pohjanmaa";"46";"43";"-6,5"
"Keski-Suomi";"328";"343";"4,6"
"Kymenlaakso";"162";"300";"85,2"
"Lappi";"446";"306";"-31,4"
"Pirkanmaa";"460";"611";"32,8"
"Pohjanmaa";"803";"417";"-48,1"
"Pohjois-Karjala";"108";"186";"72,2"
"Pohjois-Pohjanmaa";"498";"797";"60,0"
"Pohjois-Savo";"262";"183";"-30,2"
"Päijät-Häme";"142";"330";"132,4"
"Satakunta";"177";"329";"85,9"
"Uusimaa";"3391";"3727";"9,9"
"Varsinais-Suomi";"865";"1061";"22,7"
